"SSN","site","subsite","unit","northing","easting"
729,"41","NONE","N7W3",307,-119
730,"42","NONE","N7W3",309,-125
731,"43","NONE","N7W3",312,-116
732,"44","NONE","N7W3",311,-114
733,"45","NONE","N7W3",313,-113
734,"46","NONE","N7W3",304,-112
735,"47","NONE","N7W3",312,-108
736,"48","NONE","N7W3",310,-103
737,"49","NONE","N7W3",301,-106
738,"50","NONE","N7W3",315,-100
739,"L 2","NONE","N7W3",336,-147
740,"L 3","NONE","N7W3",336,-140
741,"L 4","NONE","N7W3",336,-129
742,"L 5","NONE","N7W3",334,-120
743,"L 6","NONE","N7W3",323,-124
744,"L 7","NONE","N7W3",326,-121
745,"L 8","NONE","N7W3",350,-118
746,"L 9","NONE","N7W3",324,-142
747,"L10","NONE","N7W3",323,-135
748,"L 1","NONE","N7W3",323,-148
749,"1","NONE","N6W3",262,-103
750,"2","A","N6W3",263,-110
751,"2","B","N6W3",263,-106
752,"2","C","N6W3",259,-107
753,"2","D","N6W3",259,-109
754,"3","NONE","N6W3",267,-101
755,"4","NONE","N6W3",267,-104
756,"5","NONE","N6W3",259,-112
757,"6","NONE","N6W3",283,-144
758,"7","NONE","N6W3",279,-145
759,"8","A","N6W3",263,-116
760,"8","B","N6W3",266,-116
761,"8","C","N6W3",265,-113
762,"8","D","N6W3",262,-113
763,"9","NONE","N6W3",271,-133
764,"10","NONE","N6W3",268,-129
765,"11","A","N6W3",278,-134
766,"11","B","N6W3",281,-131
767,"11","C","N6W3",278,-128
768,"11","DFG","N6W3",275,-131
769,"11","E","N6W3",277,-131
770,"109","NONE","N6W3",283,-132
771,"12","A","N6W3",290,-134
772,"12","B","N6W3",294,-131
773,"12","C","N6W3",290,-128
774,"12","F","N6W3",288,-132
775,"12","G","N6W3",288,-130
776,"12","DHJK","N6W3",288,-131
777,"12","LtoQ","N6W3",293,-131
778,"12","E","N6W3",290,-131
779,"19","W","N6W3",292,-126
780,"13","NONE","N6W3",276,-125
781,"14","NONE","N6W3",285,-128
782,"15","A","N6W3",276,-118
783,"15","B","N6W3",278,-122
784,"15","C","N6W3",282,-119
785,"15","D","N6W3",279,-119
786,"16","NONE","N6W3",291,-144
787,"17","NONE","N6W3",290,-138
788,"18","NONE","N6W3",294,-138
789,"19","E","N6W3",292,-123
790,"20","NONE","N6W3",298,-123
791,"21","NONE","N6W3",299,-129
792,"22","NONE","N6W3",300,-134
793,"23","A","N6W3",274,-104
794,"23","B","N6W3",279,-111
795,"23","C","N6W3",279,-109
796,"23","D","N6W3",271,-109
797,"23","E","N6W3",275,-109
798,"23","F","N6W3",276,-111
799,"23","G","N6W3",279,-114
800,"23","H","N6W3",283,-114
801,"23","J","N6W3",282,-112
802,"23","K","N6W3",283,-110
803,"23","L","N6W3",281,-107
804,"23","M","N6W3",281,-105
805,"23","N","N6W3",279,-104
806,"23","P","N6W3",276,-104
807,"23","Q","N6W3",278,-106
808,"23","R","N6W3",274,-107
809,"23","S","N6W3",270,-107
810,"23","T","N6W3",278,-104
811,"23","U","N6W3",272,-106
812,"24","NONE","N6W3",299,-115
813,"25","NONE","N6W3",251,-104
814,"26","NONE","N6W3",287,-143
815,"27","NONE","N6W3",280,-138
816,"28","NONE","N6W3",298,-137
817,"29","NONE","N6W3",252,-123
818,"30","NONE","N6W3",263,-132
819,"31","NONE","N6W3",257,-131
820,"32","A","N6W3",288,-101
821,"32","B","N6W3",292,-102
822,"32","C","N6W3",292,-106
823,"32","D","N6W3",289,-105
824,"33","NONE","N6W3",301,-122
825,"34","NONE","N6W3",298,-133
826,"35","NONE","N6W3",298,-142
827,"36","NONE","N6W3",295,-141
828,"37","NONE","N6W3",276,-102
829,"38","NONE","N6W3",297,-149
830,"39","NONE","N6W3",273,-150
831,"39","C","N6W3",272,-150
832,"40","NONE","N6W3",263,-148
833,"41","NONE","N6W3",258,-103
834,"42","NONE","N6W3",267,-107
835,"43","NONE","N6W3",266,-109
836,"44","NONE","N6W3",255,-103
837,"45","NONE","N6W3",256,-107
838,"46","NONE","N6W3",256,-111
839,"47","NONE","N6W3",258,-116
840,"48","NONE","N6W3",252,-112
841,"49","NONE","N6W3",252,-117
842,"50","NONE","N6W3",255,-115
843,"51","NONE","N6W3",257,-120
844,"52","NONE","N6W3",257,-125
845,"53","NONE","N6W3",262,-122
846,"54","NONE","N6W3",263,-127
847,"55","NONE","N6W3",252,-129
848,"56","NONE","N6W3",251,-135
849,"57","NONE","N6W3",254,-137
850,"58","NONE","N6W3",255,-142
851,"59","NONE","N6W3",251,-140
852,"60","NONE","N6W3",251,-146
853,"61","NONE","N6W3",259,-138
854,"62","NONE","N6W3",259,-142
855,"63","NONE","N6W3",256,-147
856,"64","NONE","N6W3",264,-135
857,"65","&66","N6W3",267,-124
858,"67","NONE","N6W3",266,-120
859,"68","NONE","N6W3",271,-124
860,"69","NONE","N6W3",267,-133
861,"70","NONE","N6W3",268,-139
862,"71","NONE","N6W3",274,-138
863,"72","NONE","N6W3",271,-144
864,"73","NONE","N6W3",285,-106
865,"74","NONE","N6W3",286,-110
866,"75","A","N6W3",292,-113
867,"75","B","N6W3",292,-109
868,"75","C","N6W3",289,-110
869,"75","D","N6W3",289,-113
870,"75","E","N6W3",289,-111
871,"76","NONE","N6W3",295,-110
872,"77","NONE","N6W3",295,-113
873,"78","NONE","N6W3",295,-107
874,"79","NONE","N6W3",297,-103
875,"80","NONE","N6W3",298,-107
876,"81","NONE","N6W3",298,-110
877,"82","NONE","N6W3",299,-113
878,"83","A","N6W3",296,-116
879,"83","B","N6W3",295,-119
880,"83","C","N6W3",297,-118
881,"83","D","N6W3",297,-120
882,"84","NONE","N6W3",300,-118
883,"85","NONE","N6W3",296,-126
884,"86","NONE","N6W3",293,-119
885,"87","NONE","N6W3",291,-118
886,"88","NONE","N6W3",287,-118
887,"89","NONE","N6W3",286,-114
888,"90","NONE","N6W3",287,-121
889,"91","NONE","N6W3",277,-115
890,"92","NONE","N6W3",270,-103
891,"93","NONE","N6W3",271,-102
892,"94","NONE","N6W3",272,-103
893,"95","NONE","N6W3",273,-101
894,"96","NONE","N6W3",269,-113
895,"97","NONE","N6W3",269,-116
896,"98","NONE","N6W3",272,-114
897,"99","NONE","N6W3",272,-117
898,"100","NONE","N6W3",282,-116
899,"101","NONE","N6W3",273,-121
900,"102","NONE","N6W3",281,-125
901,"103","NONE","N6W3",280,-127
902,"104","NONE","N6W3",283,-128
903,"105","NONE","N6W3",283,-125
904,"106","NONE","N6W3",287,-123
905,"107","NONE","N6W3",287,-126
906,"108","NONE","N6W3",287,-128
907,"110","NONE","N6W3",285,-131
908,"111","NONE","N6W3",284,-134
909,"112","NONE","N6W3",286,-138
910,"113","NONE","N6W3",280,-142
911,"114","NONE","N6W3",275,-144
912,"115","NONE","N6W3",276,-147
913,"116","NONE","N6W3",274,-147
914,"117","NONE","N6W3",278,-142
915,"118","NONE","N6W3",294,-136
916,"119","NONE","N6W3",297,-130
917,"120","NONE","N6W3",296,-145
918,"121","NONE","N6W3",276,-149
919,"122","NONE","N6W3",280,-149
920,"123","NONE","N6W3",286,-148
921,"124","NONE","N6W3",290,-148
922,"L 1","NONE","N6W3",265,-144
923,"1","NONE","N5W3",247,-123
924,"2","NONE","N5W3",246,-112
925,"3","NONE","N5W3",239,-118
926,"4","NONE","N5W3",239,-108
927,"5","&6","N5W3",232,-110
928,"7","NONE","N5W3",216,-105
929,"8","NONE","N5W3",215,-111
930,"9","NONE","N5W3",214,-118
931,"10","NONE","N5W3",214,-125
932,"11","NONE","N5W3",207,-124
933,"12","NONE","N5W3",207,-118
934,"13","NONE","N5W3",207,-111
935,"14","NONE","N5W3",206,-105
936,"15","NONE","N5W3",246,-118
937,"16","NONE","N5W3",239,-113
938,"17","NONE","N5W3",245,-107
939,"18","NONE","N5W3",248,-100
940,"19","NONE","N5W3",239,-104
941,"20","NONE","N5W3",237,-100
942,"21","NONE","N5W3",231,-100
943,"22","NONE","N5W3",234,-105
944,"23","NONE","N5W3",222,-104
945,"24","NONE","N5W3",212,-104
946,"25","NONE","N5W3",199,-103
947,"26","NONE","N5W3",200,-107
948,"27","NONE","N5W3",200,-111
949,"28","NONE","N5W3",200,-117
950,"29","NONE","N5W3",200,-122
951,"30","NONE","N5W3",200,-130
952,"31","NONE","N5W3",208,-129
953,"32","NONE","N5W3",207,-136
954,"33","NONE","N5W3",200,-138
955,"34","NONE","N5W3",200,-146
956,"35","NONE","N5W3",207,-150
957,"36","NONE","N5W3",207,-143
958,"37","NONE","N5W3",214,-150
959,"38","NONE","N5W3",216,-142
960,"39","NONE","N5W3",214,-137
961,"40","NONE","N5W3",212,-132
962,"41","NONE","N5W3",217,-134
963,"42","NONE","N5W3",225,-143
964,"43","NONE","N5W3",226,-136
965,"44","NONE","N5W3",221,-136
966,"45","NONE","N5W3",220,-130
967,"46","NONE","N5W3",226,-130
968,"47","NONE","N5W3",221,-149
969,"48","NONE","N5W3",227,-149
970,"49","NONE","N5W3",222,-114
971,"50","NONE","N5W3",232,-136
972,"51","NONE","N5W3",233,-143
973,"52","NONE","N5W3",239,-136
974,"53","NONE","N5W3",232,-129
975,"54","NONE","N5W3",239,-130
976,"55","NONE","N5W3",239,-124
977,"56","NONE","N5W3",234,-116
978,"57","NONE","N5W3",239,-143
979,"58","NONE","N5W3",233,-149
980,"59","NONE","N5W3",239,-149
981,"60","NONE","N5W3",246,-149
982,"61","NONE","N5W3",246,-143
983,"62","NONE","N5W3",246,-137
984,"63","NONE","N5W3",246,-130
985,"L 1","NONE","N5W3",226,-121
986,"1","A","N4W3",157,-101
987,"1","B","N4W3",154,-103
988,"1","C","N4W3",154,-99
989,"1","D","N4W3",152,-101
990,"1","E","N4W3",153,-101
991,"2","NONE","N4W3",166,-100
992,"3","NONE","N4W3",153,-111
993,"4","NONE","N4W3",154,-117
994,"5","NONE","N4W3",158,-111
995,"6","NONE","N4W3",162,-111
996,"7","NONE","N4W3",163,-125
997,"8","NONE","N4W3",163,-122
998,"9","NONE","N4W3",159,-125
999,"10","NONE","N4W3",162,-117
1000,"11","NONE","N4W3",168,-119
1001,"12","NONE","N4W3",175,-119
1002,"13","NONE","N4W3",171,-118
1003,"14","NONE","N4W3",176,-116
1004,"15","NONE","N4W3",174,-106
1005,"16","NONE","N4W3",181,-107
1006,"17","NONE","N4W3",181,-103
1007,"18","NONE","N4W3",186,-103
1008,"19","NONE","N4W3",186,-107
1009,"20","NONE","N4W3",186,-111
1010,"21","NONE","N4W3",181,-111
1011,"22","NONE","N4W3",176,-112
1012,"23","NONE","N4W3",181,-118
1013,"24","NONE","N4W3",188,-118
1014,"25","NONE","N4W3",168,-124
1015,"26","NONE","N4W3",174,-125
1016,"27","NONE","N4W3",175,-131
1017,"28","NONE","N4W3",181,-132
1018,"29","NONE","N4W3",180,-128
1019,"30","NONE","N4W3",179,-124
1020,"31","NONE","N4W3",184,-129
1021,"32","NONE","N4W3",183,-125
1022,"33","NONE","N4W3",188,-125
1023,"34","NONE","N4W3",194,-124
1024,"35","NONE","N4W3",192,-122
1025,"36","NONE","N4W3",188,-128
1026,"37","NONE","N4W3",194,-117
1027,"38","NONE","N4W3",194,-111
1028,"39","NONE","N4W3",191,-111
1029,"40","NONE","N4W3",193,-105
1030,"41","NONE","N4W3",182,-139
1031,"42","NONE","N4W3",181,-145
1032,"43","NONE","N4W3",179,-139
1033,"44","NONE","N4W3",187,-145
1034,"45","NONE","N4W3",194,-145
1035,"46","NONE","N4W3",193,-136
1036,"47","NONE","N4W3",188,-132
1037,"48","NONE","N4W3",191,-129
1038,"49","NONE","N4W3",178,-135
1039,"50","NONE","N4W3",169,-136
1040,"51","NONE","N4W3",169,-140
1041,"52","NONE","N4W3",168,-130
1042,"53","NONE","N4W3",164,-130
1043,"54","NONE","N4W3",161,-134
1044,"55","NONE","N4W3",160,-130
1045,"56","NONE","N4W3",162,-138
1046,"57","NONE","N4W3",162,-144
1047,"58","NONE","N4W3",162,-149
1048,"59","NONE","N4W3",169,-144
1049,"60","NONE","N4W3",169,-150
1050,"61","NONE","N4W3",175,-147
1051,"62","NONE","N4W3",180,-150
1052,"63","NONE","N4W3",174,-140
1053,"64","NONE","N4W3",154,-150
1054,"65","NONE","N4W3",154,-143
1055,"66","NONE","N4W3",154,-136
1056,"67","NONE","N4W3",154,-130
1057,"68","&69","N4W3",152,-124
1058,"70","NONE","N4W3",153,-120
1059,"L 1","NONE","N4W3",162,-120
1060,"L 2","&L3","N4W3",167,-109
1061,"L 4","NONE","N4W3",156,-106
1062,"L 5","NONE","N4W3",173,-134
1063,"L 6","NONE","N4W3",189,-150
1064,"1","NONE","N3W3",149,-106
1065,"2","NONE","N3W3",147,-116
1066,"2","CV","N3W3",148,-117
1067,"3","NONE","N3W3",150,-101
1068,"4","N","N3W3",147,-101
1069,"4","S","N3W3",145,-101
1070,"5","NONE","N3W3",134,-110
1071,"6","NONE","N3W3",141,-117
1072,"7","NONE","N3W3",135,-117
1073,"8","NONE","N3W3",129,-117
1074,"9","NONE","N3W3",128,-111
1075,"10","NONE","N3W3",133,-104
1076,"11","NONE","N3W3",141,-104
1077,"12","NONE","N3W3",138,-110
1078,"13","NONE","N3W3",108,-105
1079,"14","NONE","N3W3",112,-109
1080,"15","NONE","N3W3",112,-103
1081,"16","NONE","N3W3",116,-104
1082,"17","NONE","N3W3",108,-111
1083,"18","NONE","N3W3",112,-114
1084,"19","NONE","N3W3",116,-111
1085,"20","NONE","N3W3",123,-105
1086,"21","NONE","N3W3",122,-111
1087,"22","NONE","N3W3",106,-117
1088,"23","NONE","N3W3",103,-120
1089,"24","NONE","N3W3",103,-128
1090,"25","NONE","N3W3",108,-123
1091,"26","NONE","N3W3",103,-112
1092,"27","NONE","N3W3",103,-107
1093,"28","NONE","N3W3",104,-104
1094,"29","NONE","N3W3",122,-118
1095,"30","NONE","N3W3",116,-120
1096,"31","NONE","N3W3",122,-124
1097,"32","NONE","N3W3",129,-124
1098,"33","NONE","N3W3",135,-124
1099,"34","NONE","N3W3",140,-123
1100,"35","NONE","N3W3",146,-124
1101,"36","NONE","N3W3",122,-130
1102,"37","NONE","N3W3",122,-136
1103,"38","NONE","N3W3",129,-137
1104,"39","NONE","N3W3",135,-136
1105,"40","NONE","N3W3",141,-137
1106,"41","NONE","N3W3",147,-137
1107,"42","NONE","N3W3",132,-130
1108,"43","NONE","N3W3",143,-130
1109,"44","NONE","N3W3",146,-147
1110,"45","&46","N3W3",134,-146
1111,"47","NONE","N3W3",116,-128
1112,"48","NONE","N3W3",112,-126
1113,"49","NONE","N3W3",109,-130
1114,"50","NONE","N3W3",110,-138
1115,"51","NONE","N3W3",104,-143
1116,"52","NONE","N3W3",104,-150
1117,"53","NONE","N3W3",111,-145
1118,"54","NONE","N3W3",104,-136
1119,"L 1","&L2","N3W3",143,-110
1120,"L 3","NONE","N3W3",117,-137
1121,"1","NONE","N2W3",71,-106
1122,"2","NONE","N2W3",50,-126
1123,"3","NONE","N2W3",51,-131
1124,"4","NONE","N2W3",89,-123
1125,"5","23L","N2W3",94,-132
1126,"6","NONE","N2W3",84,-129
1127,"7","NONE","N2W3",84,-123
1128,"8","NONE","N2W3",84,-136
1129,"9","NONE","N2W3",78,-136
1130,"10","NONE","N2W3",72,-139
1131,"11","NONE","N2W3",72,-134
1132,"12","NONE","N2W3",75,-144
1133,"13","NONE","N2W3",65,-137
1134,"14","&L1","N2W3",63,-145
1135,"15","NONE","N2W3",59,-143
1136,"16","NONE","N2W3",71,-123
1137,"17","NONE","N2W3",78,-126
1138,"18","&L2","N2W3",68,-129
1139,"19","NONE","N2W3",58,-133
1140,"20","NONE","N2W3",53,-139
1141,"21","NONE","N2W3",54,-146
1142,"22","NONE","N2W3",59,-139
1143,"24","NONE","N2W3",90,-139
1144,"25","NONE","N2W3",90,-147
1145,"47","NONE","N2W3",85,-147
1146,"26","NONE","N2W3",78,-115
1147,"28","&38","N2W3",58,-110
1148,"29","&39","N2W3",80,-107
1149,"30","NONE","N2W3",83,-104
1150,"31","NONE","N2W3",84,-113
1151,"32","NONE","N2W3",97,-125
1152,"33","NONE","N2W3",99,-105
1153,"34","NONE","N2W3",92,-105
1154,"35","NONE","N2W3",62,-104
1155,"36","NONE","N2W3",57,-104
1156,"37","NONE","N2W3",51,-105
1157,"40","NONE","N2W3",57,-118
1158,"41","NONE","N2W3",66,-118
1159,"42","-27","N2W3",70,-115
1160,"43","NONE","N2W3",65,-124
1161,"44","NONE","N2W3",57,-125
1162,"45","NONE","N2W3",97,-148
1163,"46","NONE","N2W3",97,-139
1164,"1","W","N1W3",46,-143
1165,"1","E","N1W3",46,-137
1166,"2","N","N1W3",37,-140
1167,"2","S","N1W3",31,-142
1168,"3","&4","N1W3",26,-141
1169,"5","N","N1W3",38,-132
1170,"5","S","N1W3",30,-132
1171,"6","NE","N1W3",35,-114
1172,"6","NW","N1W3",35,-123
1173,"6","SW","N1W3",29,-123
1174,"6","SE","N1W3",28,-115
1175,"7","NONE","N1W3",19,-120
1176,"8","SW","N1W3",42,-120
1177,"8","NW","N1W3",49,-121
1178,"8","NE","N1W3",48,-114
1179,"8","SE","N1W3",41,-113
1180,"9","NW","N1W3",13,-123
1181,"9","NE","N1W3",13,-118
1182,"10","NONE","N1W3",2,-119
1183,"11","N","N1W3",18,-113
1184,"11","S","N1W3",13,-112
1185,"12","E","N1W3",7,-109
1186,"12","W","N1W3",6,-113
1187,"13","NONE","N1W3",12,-130
1188,"14","&L5","N1W3",19,-126
1189,"15","NONE","N1W3",10,-138
1190,"16","NONE","N1W3",18,-134
1191,"17","NONE","N1W3",17,-140
1192,"18","NONE","N1W3",25,-131
1193,"19","NONE","N1W3",10,-146
1194,"20","NONE","N1W3",1,-138
1195,"21","NONE","N1W3",5,-148
1196,"22","NONE","N1W3",2,-125
1197,"23","NONE","N1W3",4,-130
1198,"L 1","L46","N1W3",23,-122
1199,"L 2","NONE","N1W3",48,-129
1200,"L 3","NONE","N1W3",46,-109
1201,"L 7","NONE","N1W3",17,-146
1202,"1","NONE","N7W2",316,-96
1203,"2","NONE","N7W2",315,-64
1204,"3","NONE","N7W2",307,-60
1205,"4","NONE","N7W2",316,-70
1206,"5","NONE","N7W2",323,-59
1207,"6","NONE","N7W2",313,-52
1208,"7","NONE","N7W2",303,-51
1209,"8","NONE","N7W2",304,-97
1210,"9","NONE","N7W2",300,-99
1211,"10","NONE","N7W2",305,-93
1212,"11","NONE","N7W2",310,-98
1213,"12","NONE","N7W2",310,-93
1214,"13","E","N7W2",310,-87
1215,"13","W","N7W2",310,-90
1216,"14","NONE","N7W2",316,-90
1217,"15","NONE","N7W2",303,-88
1218,"16","NONE","N7W2",302,-82
1219,"17","NONE","N7W2",307,-84
1220,"18","NONE","N7W2",307,-80
1221,"19","NONE","N7W2",314,-82
1222,"20","NONE","N7W2",300,-76
1223,"21","NONE","N7W2",304,-76
1224,"22","NONE","N7W2",304,-67
1225,"23","NONE","N7W2",308,-76
1226,"24","NONE","N7W2",309,-72
1227,"25","NONE","N7W2",310,-68
1228,"26","NONE","N7W2",315,-75
1229,"27","NONE","N7W2",325,-75
1230,"28","NONE","N7W2",325,-72
1231,"29","NONE","N7W2",302,-63
1232,"30","NONE","N7W2",314,-56
1233,"31","NONE","N7W2",318,-53
1234,"32","NONE","N7W2",326,-65
1235,"33","NONE","N7W2",330,-62
1236,"34","NONE","N7W2",329,-57
1237,"35","NONE","N7W2",331,-68
1238,"36","NONE","N7W2",332,-71
1239,"37","NONE","N7W2",332,-74
1240,"38","NONE","N7W2",337,-70
1241,"39","NONE","N7W2",337,-74
1242,"40","NONE","N7W2",337,-77
1243,"L 1","NONE","N7W2",332,-71
1244,"L 2","NONE","N7W2",337,-71
1245,"L 4","NONE","N7W2",326,-71
1246,"L 5","NONE","N7W2",329,-61
1247,"L 6","NONE","N7W2",333,-77
1248,"L 7","NONE","N7W2",328,-77
1249,"L 9","NONE","N7W2",348,-84
1250,"L10","NONE","N7W2",341,-66
1251,"L11","NONE","N7W2",337,-55
1252,"L12","NONE","N7W2",347,-55
1253,"1","NONE","N6W2",259,-92
1254,"2","N","N6W2",268,-98
1255,"2","S","N6W2",262,-98
1256,"3","NONE","N6W2",272,-98
1257,"4","NONE","N6W2",280,-94
1258,"5","NONE","N6W2",277,-89
1259,"6","NONE","N6W2",286,-94
1260,"7","NONE","N6W2",295,-94
1261,"8","NONE","N6W2",267,-60
1262,"9","A","N6W2",264,-91
1263,"9","B","N6W2",267,-85
1264,"9","C","N6W2",264,-87
1265,"9","D","N6W2",270,-89
1266,"9","E","N6W2",270,-85
1267,"9","F","N6W2",264,-94
1268,"9","G","N6W2",267,-91
1269,"10","NONE","N6W2",252,-92
1270,"11","NONE","N6W2",252,-97
1271,"12","NONE","N6W2",300,-95
1272,"13","NONE","N6W2",274,-81
1273,"14","NONE","N6W2",274,-77
1274,"15","NONE","N6W2",296,-55
1275,"16","N","N6W2",280,-56
1276,"16","S","N6W2",275,-55
1277,"17","NONE","N6W2",276,-59
1278,"18","NONE","N6W2",277,-62
1279,"19","NONE","N6W2",273,-58
1280,"20","NONE","N6W2",273,-62
1281,"21","NONE","N6W2",269,-57
1282,"22","NONE","N6W2",270,-53
1283,"23","NONE","N6W2",265,-57
1284,"24","NONE","N6W2",262,-58
1285,"25","NONE","N6W2",259,-60
1286,"26","NONE","N6W2",256,-54
1287,"27","NONE","N6W2",283,-62
1288,"28","NONE","N6W2",253,-60
1289,"29","NONE","N6W2",251,-65
1290,"30","NONE","N6W2",257,-65
1291,"31","NONE","N6W2",254,-72
1292,"32","NONE","N6W2",259,-72
1293,"33","NONE","N6W2",265,-74
1294,"34","NONE","N6W2",266,-71
1295,"35","NONE","N6W2",266,-66
1296,"36","NONE","N6W2",273,-66
1297,"37","NONE","N6W2",257,-78
1298,"38","NONE","N6W2",263,-80
1299,"39","NONE","N6W2",269,-79
1300,"40","NONE","N6W2",273,-71
1301,"41","NONE","N6W2",256,-84
1302,"42","NONE","N6W2",279,-78
1303,"43","NONE","N6W2",283,-79
1304,"44","NONE","N6W2",285,-74
1305,"45","NONE","N6W2",286,-77
1306,"46","NONE","N6W2",286,-80
1307,"47","NONE","N6W2",290,-79
1308,"48","NONE","N6W2",290,-73
1309,"49","&57","N6W2",279,-70
1310,"50","NONE","N6W2",283,-68
1311,"51","NONE","N6W2",289,-68
1312,"52","NONE","N6W2",290,-62
1313,"53","&54","N6W2",285,-56
1314,"55","NONE","N6W2",296,-60
1315,"56","NONE","N6W2",296,-67
1316,"58","NONE","N6W2",299,-71
1317,"59","NONE","N6W2",294,-73
1318,"60","NONE","N6W2",297,-74
1319,"61","NONE","N6W2",295,-78
1320,"62","NONE","N6W2",297,-82
1321,"63","NONE","N6W2",291,-85
1322,"64","NONE","N6W2",285,-84
1323,"65","NONE","N6W2",279,-83
1324,"66","NONE","N6W2",282,-88
1325,"67","NONE","N6W2",286,-88
1326,"68","NONE","N6W2",295,-90
1327,"69","NONE","N6W2",297,-86
1328,"70","A","N6W2",289,-94
1329,"70","B","N6W2",290,-90
1330,"70","C","N6W2",292,-94
1331,"71","&72","N6W2",255,-89
1332,"73","NONE","N6W2",271,-93
1333,"74","NONE","N6W2",273,-89
1334,"75","NONE","N6W2",273,-85
1335,"76","NONE","N6W2",275,-93
1336,"77","NONE","N6W2",283,-93
1337,"78","NONE","N6W2",276,-98
1338,"79","NONE","N6W2",281,-100
1339,"80","NONE","N6W2",270,-99
1340,"81","NONE","N6W2",285,-98
1341,"82","NONE","N6W2",291,-98
1342,"83","NONE","N6W2",295,-98
1343,"84","NONE","N6W2",257,-98
1344,"85","NONE","N6W2",255,-98
1345,"86","NONE","N6W2",299,-90
1346,"1","A","N5W2",248,-89
1347,"1","B","N5W2",252,-85
1348,"1","CCX","N5W2",248,-81
1349,"1","DHJ","N5W2",244,-85
1350,"1","E","N5W2",247,-86
1351,"1","FG","N5W2",251,-85
1352,"9","NONE","N5W2",242,-86
1353,"68","NONE","N5W2",234,-85
1354,"69","NONE","N5W2",237,-84
1355,"70","NONE","N5W2",239,-87
1356,"2","NONE","N5W2",234,-60
1357,"3","NONE","N5W2",213,-54
1358,"4","NONE","N5W2",213,-70
1359,"5","NONE","N5W2",219,-60
1360,"6","NONE","N5W2",250,-72
1361,"7","NONE","N5W2",229,-86
1362,"8","A","N5W2",218,-91
1363,"8","B","N5W2",221,-92
1364,"8","C","N5W2",221,-89
1365,"10","NONE","N5W2",208,-54
1366,"11","NONE","N5W2",205,-53
1367,"12","AD","N5W2",208,-61
1368,"12","C","N5W2",213,-62
1369,"12","G","N5W2",210,-61
1370,"12","BE","N5W2",211,-65
1371,"12","F","N5W2",213,-61
1372,"13","NONE","N5W2",207,-68
1373,"14","NONE","N5W2",208,-73
1374,"15","NONE","N5W2",205,-73
1375,"16","NONE","N5W2",229,-52
1376,"17","NONE","N5W2",217,-54
1377,"18","NONE","N5W2",201,-89
1378,"19","NONE","N5W2",202,-93
1379,"20","NONE","N5W2",207,-92
1380,"20","C","N5W2",206,-90
1381,"21","AB","N5W2",203,-82
1382,"21","CD","N5W2",215,-82
1383,"21","E-H","N5W2",232,-81
1384,"22","NONE","N5W2",206,-79
1385,"23","NONE","N5W2",204,-64
1386,"24","NONE","N5W2",203,-60
1387,"25","NONE","N5W2",205,-57
1388,"26","NONE","N5W2",212,-84
1389,"27","NONE","N5W2",213,-80
1390,"28","NONE","N5W2",213,-77
1391,"29","NONE","N5W2",213,-74
1392,"30","NONE","N5W2",219,-75
1393,"31","NONE","N5W2",217,-68
1394,"32","+33","N5W2",222,-79
1395,"34","NONE","N5W2",229,-79
1396,"35","NONE","N5W2",235,-79
1397,"36","NONE","N5W2",233,-74
1398,"37","NONE","N5W2",232,-73
1399,"38","NONE","N5W2",239,-79
1400,"39","NONE","N5W2",228,-72
1401,"40","NONE","N5W2",224,-74
1402,"41","NONE","N5W2",237,-66
1403,"42","NONE","N5W2",240,-67
1404,"43","NONE","N5W2",239,-61
1405,"44","A","N5W2",242,-78
1406,"44","B","N5W2",242,-70
1407,"44","CD","N5W2",241,-57
1408,"45","NONE","N5W2",245,-65
1409,"46","NONE","N5W2",245,-71
1410,"47","NONE","N5W2",245,-77
1411,"48","NONE","N5W2",250,-78
1412,"49","N","N5W2",247,-60
1413,"49","S","N5W2",243,-60
1414,"50","+51","N5W2",247,-54
1415,"52","NONE","N5W2",238,-54
1416,"53","NONE","N5W2",233,-54
1417,"54","NONE","N5W2",223,-55
1418,"55","+56","N5W2",220,-85
1419,"57","NONE","N5W2",215,-92
1420,"58","NONE","N5W2",215,-98
1421,"58","C","N5W2",216,-97
1422,"59","A","N5W2",204,-97
1423,"59","B","N5W2",206,-100
1424,"59","C","N5W2",209,-100
1425,"59","D","N5W2",208,-96
1426,"60","NONE","N5W2",221,-95
1427,"61","NONE","N5W2",226,-92
1428,"62","NONE","N5W2",226,-97
1429,"63","NONE","N5W2",229,-97
1430,"64","NONE","N5W2",232,-92
1431,"65","NONE","N5W2",234,-97
1432,"66","NONE","N5W2",239,-96
1433,"67","NONE","N5W2",239,-92
1434,"71","NONE","N5W2",246,-100
1435,"L 1","NONE","N5W2",205,-89
1436,"L 2","NONE","N5W2",212,-92
1437,"L 3","NONE","N5W2",212,-87
1438,"1","NONE","N4W2",154,-66
1439,"2","NONE","N4W2",150,-60
1440,"3","NONE","N4W2",152,-56
1441,"4","NONE","N4W2",152,-52
1442,"5","NONE","N4W2",155,-52
1443,"6","NONE","N4W2",156,-55
1444,"7","NONE","N4W2",156,-59
1445,"8","NONE","N4W2",161,-53
1446,"9","NONE","N4W2",166,-53
1447,"10","NONE","N4W2",162,-59
1448,"11","NONE","N4W2",170,-59
1449,"12","NONE","N4W2",169,-66
