SSN,Code,Variable,Where
347,6,func1PMic,NA
347,5,func1McTl,NA
347,5,func1XlMe,NA
347,38,func1Oxto,NA
347,2,arch1PMic,NA
347,7,arch1McTl,NA
347,7,arch1XlMe,NA
347,40,arch1Oxto,NA
347,7,arch2Oxto,NA
347,6,func2Oxto,NA
347,70,neighborhoodChar,NA
348,38,func1PMic,NA
348,31,func1McTl,NA
348,31,func1XlMe,NA
348,38,func1Oxto,NA
348,40,arch1PMic,NA
348,31,arch1McTl,NA
348,31,arch1XlMe,NA
348,40,arch1Oxto,NA
348,70,neighborhoodChar,NA
349,38,func1PMic,NA
349,31,func1McTl,NA
349,31,func1XlMe,NA
349,38,func1Oxto,NA
349,40,arch1PMic,NA
349,31,arch1McTl,NA
349,31,arch1XlMe,NA
349,40,arch1Oxto,NA
349,70,neighborhoodChar,NA
350,38,func1PMic,NA
350,38,func1McTl,NA
350,38,func1XlMe,NA
350,38,func1Oxto,NA
350,40,arch1PMic,NA
350,40,arch1McTl,NA
350,40,arch1XlMe,NA
350,40,arch1Oxto,NA
350,2,arch2PMic,NA
350,6,func2PMic,NA
350,70,neighborhoodChar,NA
351,38,func1PMic,NA
351,31,func1McTl,NA
351,31,func1XlMe,NA
351,38,func1Oxto,NA
351,40,arch1PMic,NA
351,31,arch1McTl,NA
351,31,arch1XlMe,NA
351,40,arch1Oxto,NA
351,70,neighborhoodChar,NA
352,38,func1PMic,NA
352,31,func1McTl,NA
352,5,func1XlMe,NA
352,38,func1Oxto,NA
352,40,arch1PMic,NA
352,31,arch1McTl,NA
352,7,arch1XlMe,NA
352,40,arch1Oxto,NA
352,2,arch2PMic,NA
352,7,arch2McTl,NA
352,31,arch2XlMe,NA
352,6,func2PMic,NA
352,5,func2McTl,NA
352,31,func2XlMe,NA
352,70,neighborhoodChar,NA
353,38,func1PMic,NA
353,5,func1McTl,NA
353,38,func1XlMe,NA
353,38,func1Oxto,NA
353,40,arch1PMic,NA
353,7,arch1McTl,NA
353,40,arch1XlMe,NA
353,40,arch1Oxto,NA
353,40,arch2McTl,NA
353,7,arch2XlMe,NA
353,38,func2McTl,NA
353,5,func2XlMe,NA
353,72,neighborhoodChar,NA
354,6,func1PMic,NA
354,4,func1McTl,NA
354,38,func1XlMe,NA
354,38,func1Oxto,NA
354,2,arch1PMic,NA
354,1,arch1McTl,NA
354,40,arch1XlMe,NA
354,40,arch1Oxto,NA
354,70,neighborhoodChar,NA
355,5,func1PMic,NA
355,5,func1McTl,NA
355,38,func1XlMe,NA
355,38,func1Oxto,NA
355,7,arch1PMic,NA
355,7,arch1McTl,NA
355,40,arch1XlMe,NA
355,40,arch1Oxto,NA
355,72,neighborhoodChar,NA
356,6,func1PMic,NA
356,4,func1McTl,NA
356,38,func1XlMe,NA
356,38,func1Oxto,NA
356,2,arch1PMic,NA
356,1,arch1McTl,NA
356,40,arch1XlMe,NA
356,40,arch1Oxto,NA
356,70,neighborhoodChar,NA
357,5,func1PMic,NA
357,38,func1McTl,NA
357,38,func1XlMe,NA
357,38,func1Oxto,NA
357,7,arch1PMic,NA
357,40,arch1McTl,NA
357,40,arch1XlMe,NA
357,40,arch1Oxto,NA
357,70,neighborhoodChar,NA
358,5,func1PMic,NA
358,5,func1McTl,NA
358,5,func1XlMe,NA
358,38,func1Oxto,NA
358,7,arch1PMic,NA
358,7,arch1McTl,NA
358,7,arch1XlMe,NA
358,40,arch1Oxto,NA
358,72,neighborhoodChar,NA
359,0,func1PMic,Missing
359,0,func1McTl,Missing
359,0,func1XlMe,Missing
359,0,func1Oxto,Missing
359,40,arch1PMic,NA
359,40,arch1McTl,NA
359,40,arch1XlMe,NA
359,40,arch1Oxto,NA
359,72,neighborhoodChar,NA
360,5,func1PMic,NA
360,5,func1McTl,NA
360,38,func1XlMe,NA
360,38,func1Oxto,NA
360,7,arch1PMic,NA
360,7,arch1McTl,NA
360,40,arch1XlMe,NA
360,40,arch1Oxto,NA
360,70,neighborhoodChar,NA
361,5,func1PMic,NA
361,38,func1McTl,NA
361,38,func1XlMe,NA
361,38,func1Oxto,NA
361,7,arch1PMic,NA
361,40,arch1McTl,NA
361,40,arch1XlMe,NA
361,40,arch1Oxto,NA
361,70,neighborhoodChar,NA
362,5,func1PMic,NA
362,38,func1McTl,NA
362,38,func1XlMe,NA
362,38,func1Oxto,NA
362,7,arch1PMic,NA
362,40,arch1McTl,NA
362,40,arch1XlMe,NA
362,40,arch1Oxto,NA
362,70,neighborhoodChar,NA
363,5,func1PMic,NA
363,38,func1McTl,NA
363,38,func1XlMe,NA
363,38,func1Oxto,NA
363,7,arch1PMic,NA
363,40,arch1McTl,NA
363,40,arch1XlMe,NA
363,40,arch1Oxto,NA
363,70,neighborhoodChar,NA
364,5,func1PMic,NA
364,5,func1McTl,NA
364,38,func1XlMe,NA
364,38,func1Oxto,NA
364,7,arch1PMic,NA
364,7,arch1McTl,NA
364,40,arch1XlMe,NA
364,40,arch1Oxto,NA
364,70,neighborhoodChar,NA
365,5,func1PMic,NA
365,38,func1McTl,NA
365,38,func1XlMe,NA
365,38,func1Oxto,NA
365,7,arch1PMic,NA
365,40,arch1McTl,NA
365,40,arch1XlMe,NA
365,40,arch1Oxto,NA
365,70,neighborhoodChar,NA
366,5,func1PMic,NA
366,5,func1McTl,NA
366,38,func1XlMe,NA
366,38,func1Oxto,NA
366,7,arch1PMic,NA
366,7,arch1McTl,NA
366,40,arch1XlMe,NA
366,40,arch1Oxto,NA
366,70,neighborhoodChar,NA
367,5,func1PMic,NA
367,38,func1McTl,NA
367,38,func1XlMe,NA
367,38,func1Oxto,NA
367,7,arch1PMic,NA
367,40,arch1McTl,NA
367,40,arch1XlMe,NA
367,40,arch1Oxto,NA
367,70,neighborhoodChar,NA
368,5,func1PMic,NA
368,5,func1McTl,NA
368,38,func1XlMe,NA
368,38,func1Oxto,NA
368,7,arch1PMic,NA
368,7,arch1McTl,NA
368,40,arch1XlMe,NA
368,40,arch1Oxto,NA
368,70,neighborhoodChar,NA
369,5,func1PMic,NA
369,38,func1McTl,NA
369,38,func1XlMe,NA
369,38,func1Oxto,NA
369,7,arch1PMic,NA
369,40,arch1McTl,NA
369,40,arch1XlMe,NA
369,40,arch1Oxto,NA
369,70,neighborhoodChar,NA
370,5,func1PMic,NA
370,38,func1McTl,NA
370,38,func1XlMe,NA
370,38,func1Oxto,NA
370,7,arch1PMic,NA
370,40,arch1McTl,NA
370,40,arch1XlMe,NA
370,40,arch1Oxto,NA
370,70,neighborhoodChar,NA
371,5,func1PMic,NA
371,38,func1McTl,NA
371,38,func1XlMe,NA
371,38,func1Oxto,NA
371,7,arch1PMic,NA
371,40,arch1McTl,NA
371,40,arch1XlMe,NA
371,40,arch1Oxto,NA
371,70,neighborhoodChar,NA
372,6,func1PMic,NA
372,4,func1McTl,NA
372,4,func1XlMe,NA
372,38,func1Oxto,NA
372,2,arch1PMic,NA
372,1,arch1McTl,NA
372,1,arch1XlMe,NA
372,40,arch1Oxto,NA
372,70,neighborhoodChar,NA
373,5,func1PMic,NA
373,38,func1McTl,NA
373,38,func1XlMe,NA
373,38,func1Oxto,NA
373,7,arch1PMic,NA
373,40,arch1McTl,NA
373,40,arch1XlMe,NA
373,40,arch1Oxto,NA
373,70,neighborhoodChar,NA
374,5,func1PMic,NA
374,38,func1McTl,NA
374,38,func1XlMe,NA
374,38,func1Oxto,NA
374,7,arch1PMic,NA
374,40,arch1McTl,NA
374,40,arch1XlMe,NA
374,40,arch1Oxto,NA
374,70,neighborhoodChar,NA
375,62,obsidianField,NA
375,5,func1PMic,NA
375,5,func1McTl,NA
375,5,func1XlMe,NA
375,38,func1Oxto,NA
375,7,arch1PMic,NA
375,7,arch1McTl,NA
375,7,arch1XlMe,NA
375,40,arch1Oxto,NA
375,70,neighborhoodChar,NA
376,5,func1PMic,NA
376,5,func1McTl,NA
376,38,func1XlMe,NA
376,38,func1Oxto,NA
376,7,arch1PMic,NA
376,7,arch1McTl,NA
376,40,arch1XlMe,NA
376,40,arch1Oxto,NA
376,70,neighborhoodChar,NA
377,6,func1PMic,NA
377,4,func1McTl,NA
377,4,func1XlMe,NA
377,38,func1Oxto,NA
377,2,arch1PMic,NA
377,1,arch1McTl,NA
377,1,arch1XlMe,NA
377,40,arch1Oxto,NA
377,70,neighborhoodChar,NA
378,5,func1PMic,NA
378,5,func1McTl,NA
378,38,func1XlMe,NA
378,38,func1Oxto,NA
378,7,arch1PMic,NA
378,7,arch1McTl,NA
378,40,arch1XlMe,NA
378,40,arch1Oxto,NA
378,70,neighborhoodChar,NA
379,5,func1PMic,NA
379,38,func1McTl,NA
379,38,func1XlMe,NA
379,38,func1Oxto,NA
379,7,arch1PMic,NA
379,40,arch1McTl,NA
379,40,arch1XlMe,NA
379,40,arch1Oxto,NA
379,70,neighborhoodChar,NA
380,5,func1PMic,NA
380,38,func1McTl,NA
380,38,func1XlMe,NA
380,38,func1Oxto,NA
380,7,arch1PMic,NA
380,40,arch1McTl,NA
380,40,arch1XlMe,NA
380,40,arch1Oxto,NA
380,70,neighborhoodChar,NA
381,5,func1PMic,NA
381,38,func1McTl,NA
381,38,func1XlMe,NA
381,38,func1Oxto,NA
381,7,arch1PMic,NA
381,40,arch1McTl,NA
381,40,arch1XlMe,NA
381,40,arch1Oxto,NA
381,70,neighborhoodChar,NA
382,0,func1PMic,Missing
382,0,func1McTl,Missing
382,0,func1XlMe,Missing
382,0,func1Oxto,Missing
382,40,arch1PMic,NA
382,40,arch1McTl,NA
382,40,arch1XlMe,NA
382,40,arch1Oxto,NA
382,70,neighborhoodChar,NA
383,6,func1PMic,NA
383,4,func1McTl,NA
383,4,func1XlMe,NA
383,4,func1Oxto,NA
383,2,arch1PMic,NA
383,1,arch1McTl,NA
383,1,arch1XlMe,NA
383,40,arch1Oxto,NA
383,70,neighborhoodChar,NA
384,6,func1PMic,NA
384,4,func1McTl,NA
384,4,func1XlMe,NA
384,0,func1Oxto,Missing
384,2,arch1PMic,NA
384,1,arch1McTl,NA
384,1,arch1XlMe,NA
384,8,arch1Oxto,NA
384,70,neighborhoodChar,NA
385,5,func1PMic,NA
385,5,func1McTl,NA
385,5,func1XlMe,NA
385,0,func1Oxto,Missing
385,7,arch1PMic,NA
385,7,arch1McTl,NA
385,7,arch1XlMe,NA
385,40,arch1Oxto,NA
385,70,neighborhoodChar,NA
386,5,func1PMic,NA
386,5,func1McTl,NA
386,5,func1XlMe,NA
386,0,func1Oxto,Missing
386,7,arch1PMic,NA
386,7,arch1McTl,NA
386,7,arch1XlMe,NA
386,40,arch1Oxto,NA
386,70,neighborhoodChar,NA
387,5,func1PMic,NA
387,5,func1McTl,NA
387,38,func1XlMe,NA
387,38,func1Oxto,NA
387,7,arch1PMic,NA
387,7,arch1McTl,NA
387,40,arch1XlMe,NA
387,40,arch1Oxto,NA
387,70,neighborhoodChar,NA
388,6,func1PMic,NA
388,4,func1McTl,NA
388,4,func1XlMe,NA
388,0,func1Oxto,Missing
388,2,arch1PMic,NA
388,1,arch1McTl,NA
388,1,arch1XlMe,NA
388,40,arch1Oxto,NA
388,70,neighborhoodChar,NA
389,62,obsidianField,NA
389,6,func1PMic,NA
389,4,func1McTl,NA
389,4,func1XlMe,NA
389,0,func1Oxto,Missing
389,2,arch1PMic,NA
389,1,arch1McTl,NA
389,1,arch1XlMe,NA
389,40,arch1Oxto,NA
389,67,obsidianSpencePhase1,NA
389,68,obsidianSpencePhase2,NA
389,70,neighborhoodChar,NA
390,5,func1PMic,NA
390,5,func1McTl,NA
390,5,func1XlMe,NA
390,0,func1Oxto,Missing
390,7,arch1PMic,NA
390,7,arch1McTl,NA
390,7,arch1XlMe,NA
390,40,arch1Oxto,NA
390,70,neighborhoodChar,NA
391,38,func1PMic,NA
391,38,func1McTl,NA
391,38,func1XlMe,NA
391,38,func1Oxto,NA
391,40,arch1PMic,NA
391,40,arch1McTl,NA
391,40,arch1XlMe,NA
391,40,arch1Oxto,NA
391,70,neighborhoodChar,NA
392,6,func1PMic,NA
392,4,func1McTl,NA
392,4,func1XlMe,NA
392,0,func1Oxto,Missing
392,2,arch1PMic,NA
392,1,arch1McTl,NA
392,1,arch1XlMe,NA
392,40,arch1Oxto,NA
392,70,neighborhoodChar,NA
393,62,obsidianField,NA
393,6,func1PMic,NA
393,4,func1McTl,NA
393,4,func1XlMe,NA
393,0,func1Oxto,Missing
393,2,arch1PMic,NA
393,1,arch1McTl,NA
393,1,arch1XlMe,NA
393,40,arch1Oxto,NA
393,68,obsidianSpencePhase1,NA
393,70,neighborhoodChar,NA
394,62,obsidianField,NA
394,5,func1PMic,NA
394,5,func1McTl,NA
394,5,func1XlMe,NA
394,0,func1Oxto,Missing
394,7,arch1PMic,NA
394,7,arch1McTl,NA
394,7,arch1XlMe,NA
394,40,arch1Oxto,NA
394,68,obsidianSpencePhase1,NA
394,70,neighborhoodChar,NA
395,5,func1PMic,NA
395,5,func1McTl,NA
395,38,func1XlMe,NA
395,0,func1Oxto,Missing
395,7,arch1PMic,NA
395,7,arch1McTl,NA
395,40,arch1XlMe,NA
395,40,arch1Oxto,NA
395,68,obsidianSpencePhase1,NA
395,70,neighborhoodChar,NA
396,62,obsidianField,NA
396,5,func1PMic,NA
396,5,func1McTl,NA
396,5,func1XlMe,NA
396,5,func1Oxto,NA
396,7,arch1PMic,NA
396,7,arch1McTl,NA
396,7,arch1XlMe,NA
396,40,arch1Oxto,NA
396,70,neighborhoodChar,NA
397,5,func1PMic,NA
397,5,func1McTl,NA
397,38,func1XlMe,NA
397,0,func1Oxto,Missing
397,7,arch1PMic,NA
397,7,arch1McTl,NA
397,40,arch1XlMe,NA
397,40,arch1Oxto,NA
397,70,neighborhoodChar,NA
398,62,obsidianField,NA
398,5,func1PMic,NA
398,5,func1McTl,NA
398,5,func1XlMe,NA
398,0,func1Oxto,Missing
398,7,arch1PMic,NA
398,7,arch1McTl,NA
398,7,arch1XlMe,NA
398,40,arch1Oxto,NA
398,67,obsidianSpencePhase1,NA
398,68,obsidianSpencePhase2,NA
398,70,neighborhoodChar,NA
399,5,func1PMic,NA
399,5,func1McTl,NA
399,5,func1XlMe,NA
399,0,func1Oxto,Missing
399,7,arch1PMic,NA
399,7,arch1McTl,NA
399,7,arch1XlMe,NA
399,40,arch1Oxto,NA
399,70,neighborhoodChar,NA
400,65,obsidianField,NA
400,6,func1PMic,NA
400,4,func1McTl,NA
400,4,func1XlMe,NA
400,0,func1Oxto,Missing
400,2,arch1PMic,NA
400,1,arch1McTl,NA
400,1,arch1XlMe,NA
400,40,arch1Oxto,NA
400,68,obsidianSpencePhase1,NA
400,35,funcOthXlMt,NA
400,70,neighborhoodChar,NA
401,5,func1PMic,NA
401,5,func1McTl,NA
401,5,func1XlMe,NA
401,0,func1Oxto,Missing
401,7,arch1PMic,NA
401,7,arch1McTl,NA
401,7,arch1XlMe,NA
401,40,arch1Oxto,NA
401,70,neighborhoodChar,NA
402,5,func1PMic,NA
402,5,func1McTl,NA
402,5,func1XlMe,NA
402,5,func1Oxto,NA
402,7,arch1PMic,NA
402,7,arch1McTl,NA
402,7,arch1XlMe,NA
402,8,arch1Oxto,NA
402,70,neighborhoodChar,NA
403,5,func1PMic,NA
403,5,func1McTl,NA
403,5,func1XlMe,NA
403,0,func1Oxto,Missing
403,7,arch1PMic,NA
403,7,arch1McTl,NA
403,7,arch1XlMe,NA
403,40,arch1Oxto,NA
403,70,neighborhoodChar,NA
404,5,func1PMic,NA
404,38,func1McTl,NA
404,38,func1XlMe,NA
404,0,func1Oxto,Missing
404,7,arch1PMic,NA
404,40,arch1McTl,NA
404,40,arch1XlMe,NA
404,40,arch1Oxto,NA
404,70,neighborhoodChar,NA
405,5,func1PMic,NA
405,5,func1McTl,NA
405,5,func1XlMe,NA
405,0,func1Oxto,Missing
405,2,arch1PMic,NA
405,1,arch1McTl,NA
405,1,arch1XlMe,NA
405,40,arch1Oxto,NA
405,70,neighborhoodChar,NA
406,5,func1PMic,NA
406,5,func1McTl,NA
406,38,func1XlMe,NA
406,0,func1Oxto,Missing
406,7,arch1PMic,NA
406,7,arch1McTl,NA
406,40,arch1XlMe,NA
406,40,arch1Oxto,NA
406,70,neighborhoodChar,NA
407,5,func1PMic,NA
407,5,func1McTl,NA
407,5,func1XlMe,NA
407,0,func1Oxto,Missing
407,7,arch1PMic,NA
407,7,arch1McTl,NA
407,7,arch1XlMe,NA
407,40,arch1Oxto,NA
407,70,neighborhoodChar,NA
408,5,func1PMic,NA
408,5,func1McTl,NA
408,5,func1XlMe,NA
408,0,func1Oxto,Missing
408,7,arch1PMic,NA
408,7,arch1McTl,NA
408,7,arch1XlMe,NA
408,40,arch1Oxto,NA
408,70,neighborhoodChar,NA
409,5,func1PMic,NA
409,5,func1McTl,NA
409,5,func1XlMe,NA
409,0,func1Oxto,Missing
409,7,arch1PMic,NA
409,7,arch1McTl,NA
409,7,arch1XlMe,NA
409,40,arch1Oxto,NA
409,70,neighborhoodChar,NA
410,5,func1PMic,NA
410,5,func1McTl,NA
410,5,func1XlMe,NA
410,0,func1Oxto,Missing
410,7,arch1PMic,NA
410,7,arch1McTl,NA
410,7,arch1XlMe,NA
410,40,arch1Oxto,NA
410,70,neighborhoodChar,NA
411,5,func1PMic,NA
411,38,func1McTl,NA
411,38,func1XlMe,NA
411,0,func1Oxto,Missing
411,7,arch1PMic,NA
411,40,arch1McTl,NA
411,40,arch1XlMe,NA
411,40,arch1Oxto,NA
411,70,neighborhoodChar,NA
412,5,func1PMic,NA
412,5,func1McTl,NA
412,38,func1XlMe,NA
412,0,func1Oxto,Missing
412,7,arch1PMic,NA
412,7,arch1McTl,NA
412,40,arch1XlMe,NA
412,40,arch1Oxto,NA
412,70,neighborhoodChar,NA
413,62,obsidianField,NA
413,5,func1PMic,NA
413,5,func1McTl,NA
413,5,func1XlMe,NA
413,0,func1Oxto,Missing
413,7,arch1PMic,NA
413,7,arch1McTl,NA
413,7,arch1XlMe,NA
413,40,arch1Oxto,NA
413,68,obsidianSpencePhase1,NA
413,70,neighborhoodChar,NA
414,6,func1PMic,NA
414,4,func1McTl,NA
414,4,func1XlMe,NA
414,0,func1Oxto,Missing
414,2,arch1PMic,NA
414,1,arch1McTl,NA
414,1,arch1XlMe,NA
414,40,arch1Oxto,NA
414,70,neighborhoodChar,NA
415,6,func1PMic,NA
415,4,func1McTl,NA
415,4,func1XlMe,NA
415,0,func1Oxto,Missing
415,2,arch1PMic,NA
415,1,arch1McTl,NA
415,1,arch1XlMe,NA
415,40,arch1Oxto,NA
415,70,neighborhoodChar,NA
416,0,func1PMic,Missing
416,0,func1McTl,Missing
416,0,func1XlMe,Missing
416,0,func1Oxto,Missing
416,8,arch1PMic,NA
416,8,arch1McTl,NA
416,40,arch1XlMe,NA
416,40,arch1Oxto,NA
416,70,neighborhoodChar,NA
417,0,func1PMic,Missing
417,0,func1McTl,Missing
417,0,func1XlMe,Missing
417,38,func1Oxto,NA
417,8,arch1PMic,NA
417,8,arch1McTl,NA
417,8,arch1XlMe,NA
417,40,arch1Oxto,NA
417,70,neighborhoodChar,NA
418,0,func1PMic,Missing
418,38,func1McTl,NA
418,38,func1XlMe,NA
418,38,func1Oxto,NA
418,8,arch1PMic,NA
418,40,arch1McTl,NA
418,40,arch1XlMe,NA
418,40,arch1Oxto,NA
418,70,neighborhoodChar,NA
419,63,obsidianField,NA
419,5,func1PMic,NA
419,5,func1McTl,NA
419,5,func1XlMe,NA
419,38,func1Oxto,NA
419,7,arch1PMic,NA
419,7,arch1McTl,NA
419,7,arch1XlMe,NA
419,8,arch1Oxto,NA
419,67,obsidianSpencePhase1,NA
419,68,obsidianSpencePhase2,NA
419,70,neighborhoodChar,NA
420,6,func1PMic,NA
420,4,func1McTl,NA
420,4,func1XlMe,NA
420,38,func1Oxto,NA
420,2,arch1PMic,NA
420,1,arch1McTl,NA
420,1,arch1XlMe,NA
420,40,arch1Oxto,NA
420,70,neighborhoodChar,NA
421,5,func1PMic,NA
421,5,func1McTl,NA
421,5,func1XlMe,NA
421,38,func1Oxto,NA
421,7,arch1PMic,NA
421,7,arch1McTl,NA
421,7,arch1XlMe,NA
421,40,arch1Oxto,NA
421,70,neighborhoodChar,NA
422,5,func1PMic,NA
422,5,func1McTl,NA
422,38,func1XlMe,NA
422,38,func1Oxto,NA
422,7,arch1PMic,NA
422,7,arch1McTl,NA
422,40,arch1XlMe,NA
422,40,arch1Oxto,NA
422,70,neighborhoodChar,NA
423,5,func1PMic,NA
423,5,func1McTl,NA
423,38,func1XlMe,NA
423,38,func1Oxto,NA
423,7,arch1PMic,NA
423,7,arch1McTl,NA
423,40,arch1XlMe,NA
423,8,arch1Oxto,NA
423,70,neighborhoodChar,NA
424,0,func1PMic,Missing
424,0,func1McTl,Missing
424,0,func1XlMe,Missing
424,0,func1Oxto,Missing
424,8,arch1PMic,NA
424,8,arch1McTl,NA
424,8,arch1XlMe,NA
424,8,arch1Oxto,NA
424,70,neighborhoodChar,NA
425,5,func1PMic,NA
425,5,func1McTl,NA
425,5,func1XlMe,NA
425,37,func1Oxto,NA
425,40,arch1PMic,NA
425,7,arch1McTl,NA
425,7,arch1XlMe,NA
425,40,arch1Oxto,NA
425,70,neighborhoodChar,NA
426,6,func1PMic,NA
426,4,func1McTl,NA
426,4,func1XlMe,NA
426,38,func1Oxto,NA
426,2,arch1PMic,NA
426,1,arch1McTl,NA
426,1,arch1XlMe,NA
426,40,arch1Oxto,NA
426,70,neighborhoodChar,NA
427,6,func1PMic,NA
427,3,func1McTl,NA
427,3,func1XlMe,NA
427,38,func1Oxto,NA
427,2,arch1PMic,NA
427,1,arch1McTl,NA
427,1,arch1XlMe,NA
427,40,arch1Oxto,NA
427,70,neighborhoodChar,NA
428,6,func1PMic,NA
428,4,func1McTl,NA
428,4,func1XlMe,NA
428,38,func1Oxto,NA
428,2,arch1PMic,NA
428,1,arch1McTl,NA
428,1,arch1XlMe,NA
428,40,arch1Oxto,NA
428,70,neighborhoodChar,NA
429,0,func1PMic,Missing
429,0,func1McTl,Missing
429,0,func1XlMe,Missing
429,0,func1Oxto,Missing
429,8,arch1PMic,NA
429,8,arch1McTl,NA
429,8,arch1XlMe,NA
429,8,arch1Oxto,NA
429,70,neighborhoodChar,NA
430,5,func1PMic,NA
430,5,func1McTl,NA
430,38,func1XlMe,NA
430,38,func1Oxto,NA
430,7,arch1PMic,NA
430,7,arch1McTl,NA
430,40,arch1XlMe,NA
430,40,arch1Oxto,NA
430,70,neighborhoodChar,NA
431,65,obsidianField,NA
431,5,func1PMic,NA
431,5,func1McTl,NA
431,5,func1XlMe,NA
431,30,func1Oxto,NA
431,7,arch1PMic,NA
431,7,arch1McTl,NA
431,7,arch1XlMe,NA
431,40,arch1Oxto,NA
431,67,obsidianSpencePhase1,NA
431,68,obsidianSpencePhase2,NA
431,70,neighborhoodChar,NA
432,5,func1PMic,NA
432,5,func1McTl,NA
432,5,func1XlMe,NA
432,38,func1Oxto,NA
432,7,arch1PMic,NA
432,7,arch1McTl,NA
432,7,arch1XlMe,NA
432,40,arch1Oxto,NA
432,70,neighborhoodChar,NA
433,63,obsidianField,NA
433,6,func1PMic,NA
433,4,func1McTl,NA
433,4,func1XlMe,NA
433,38,func1Oxto,NA
433,2,arch1PMic,NA
433,1,arch1McTl,NA
433,1,arch1XlMe,NA
433,40,arch1Oxto,NA
433,67,obsidianSpencePhase1,NA
433,68,obsidianSpencePhase2,NA
433,70,neighborhoodChar,NA
434,5,func1PMic,NA
434,5,func1McTl,NA
434,5,func1XlMe,NA
434,5,func1Oxto,NA
434,7,arch1PMic,NA
434,7,arch1McTl,NA
434,7,arch1XlMe,NA
434,7,arch1Oxto,NA
434,70,neighborhoodChar,NA
435,5,func1PMic,NA
435,5,func1McTl,NA
435,5,func1XlMe,NA
435,5,func1Oxto,NA
435,7,arch1PMic,NA
435,7,arch1McTl,NA
435,7,arch1XlMe,NA
435,7,arch1Oxto,NA
435,70,neighborhoodChar,NA
436,6,func1PMic,NA
436,4,func1McTl,NA
436,4,func1XlMe,NA
436,4,func1Oxto,NA
436,2,arch1PMic,NA
436,1,arch1McTl,NA
436,1,arch1XlMe,NA
436,2,arch1Oxto,NA
436,70,neighborhoodChar,NA
437,6,func1PMic,NA
437,4,func1McTl,NA
437,4,func1XlMe,NA
437,4,func1Oxto,NA
437,2,arch1PMic,NA
437,1,arch1McTl,NA
437,1,arch1XlMe,NA
437,2,arch1Oxto,NA
437,70,neighborhoodChar,NA
438,63,obsidianField,NA
438,6,func1PMic,NA
438,4,func1McTl,NA
438,4,func1XlMe,NA
438,38,func1Oxto,NA
438,2,arch1PMic,NA
438,1,arch1McTl,NA
438,1,arch1XlMe,NA
438,40,arch1Oxto,NA
438,68,obsidianSpencePhase1,NA
438,70,neighborhoodChar,NA
439,5,func1PMic,NA
439,5,func1McTl,NA
439,5,func1XlMe,NA
439,5,func1Oxto,NA
439,7,arch1PMic,NA
439,7,arch1McTl,NA
439,7,arch1XlMe,NA
439,7,arch1Oxto,NA
439,70,neighborhoodChar,NA
440,5,func1PMic,NA
440,5,func1McTl,NA
440,38,func1XlMe,NA
440,38,func1Oxto,NA
440,7,arch1PMic,NA
440,7,arch1McTl,NA
440,40,arch1XlMe,NA
440,40,arch1Oxto,NA
440,70,neighborhoodChar,NA
441,5,func1PMic,NA
441,5,func1McTl,NA
441,5,func1XlMe,NA
441,5,func1Oxto,NA
441,7,arch1PMic,NA
441,7,arch1McTl,NA
441,7,arch1XlMe,NA
441,7,arch1Oxto,NA
441,70,neighborhoodChar,NA
442,6,func1PMic,NA
442,4,func1McTl,NA
442,4,func1XlMe,NA
442,38,func1Oxto,NA
442,2,arch1PMic,NA
442,1,arch1McTl,NA
442,1,arch1XlMe,NA
442,40,arch1Oxto,NA
442,70,neighborhoodChar,NA
443,0,func1PMic,Missing
443,0,func1McTl,Missing
443,0,func1XlMe,Missing
443,0,func1Oxto,Missing
443,8,arch1PMic,NA
443,8,arch1McTl,NA
443,8,arch1XlMe,NA
443,8,arch1Oxto,NA
443,70,neighborhoodChar,NA
444,0,func1PMic,Missing
444,0,func1McTl,Missing
444,0,func1XlMe,Missing
444,0,func1Oxto,Missing
444,40,arch1PMic,NA
444,40,arch1McTl,NA
444,40,arch1XlMe,NA
444,40,arch1Oxto,NA
444,70,neighborhoodChar,NA
445,0,func1PMic,Missing
445,0,func1McTl,Missing
445,0,func1XlMe,Missing
445,0,func1Oxto,Missing
445,8,arch1PMic,NA
445,8,arch1McTl,NA
445,8,arch1XlMe,NA
445,40,arch1Oxto,NA
445,70,neighborhoodChar,NA
446,65,obsidianField,NA
446,0,func1PMic,Missing
446,0,func1McTl,Missing
446,0,func1XlMe,Missing
446,38,func1Oxto,NA
446,21,arch1PMic,NA
446,21,arch1McTl,NA
446,21,arch1XlMe,NA
446,40,arch1Oxto,NA
446,2,arch2PMic,NA
446,1,arch2McTl,NA
446,1,arch2XlMe,NA
446,68,obsidianSpencePhase1,NA
446,6,func2PMic,NA
446,4,func2McTl,NA
446,4,func2XlMe,NA
446,70,neighborhoodChar,NA
447,6,func1PMic,NA
447,4,func1McTl,NA
447,4,func1XlMe,NA
447,6,func1Oxto,NA
447,2,arch1PMic,NA
447,1,arch1McTl,NA
447,1,arch1XlMe,NA
447,2,arch1Oxto,NA
447,70,neighborhoodChar,NA
448,65,obsidianField,NA
448,6,func1PMic,NA
448,4,func1McTl,NA
448,4,func1XlMe,NA
448,38,func1Oxto,NA
448,2,arch1PMic,NA
448,1,arch1McTl,NA
448,1,arch1XlMe,NA
448,40,arch1Oxto,NA
448,68,obsidianSpencePhase1,NA
448,70,neighborhoodChar,NA
449,65,obsidianField,NA
449,5,func1PMic,NA
449,5,func1McTl,NA
