"ID","SSN","Phase","PhaseAbbr","Period","archInterp_1","funcInterp_1","archInterp_2","funcInterp_2","xxx","Occu_1","Occu_2","Occu"
1810,453,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1811,453,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1812,453,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1813,454,"Patlachique-Tzacualli","PMic","EC","access-way (alley, street, avenue, etc.)","street or avenue","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1814,454,"Miccaotli-Tlamimilolpa","McTl","MC","access-way (alley, street, avenue, etc.)","street or avenue","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1815,454,"Xolalpan-Metepec","XlMe","LC","access-way (alley, street, avenue, etc.)","street or avenue","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1816,454,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1817,455,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1818,455,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1819,455,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1820,455,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1821,456,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1822,456,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1823,456,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1824,456,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1825,457,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1826,457,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1827,457,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1828,457,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1829,458,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1830,458,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1831,458,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1832,458,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1833,459,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1834,459,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1835,459,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1836,459,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1837,460,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1838,460,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1839,460,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1840,460,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1841,461,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1842,461,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1843,461,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1844,461,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1845,462,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1846,462,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1847,462,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1848,462,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1849,463,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1850,463,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1851,463,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1852,463,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1853,464,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1854,464,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1855,464,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1856,464,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1857,465,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1858,465,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1859,465,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1860,465,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1861,466,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1862,466,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1863,466,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1864,466,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1865,467,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1866,467,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1867,467,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1868,467,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1869,468,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1870,468,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1871,468,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1872,468,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1873,469,"Patlachique-Tzacualli","PMic","EC","casa humilde","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1874,469,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1875,469,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1876,469,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1877,470,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1878,470,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1879,470,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1880,470,"Oxtoticpac","Oxto","ET","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1881,471,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1882,471,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1883,471,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1884,471,"Oxtoticpac","Oxto","ET","room group","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1885,472,"Patlachique-Tzacualli","PMic","EC","room group","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1886,472,"Miccaotli-Tlamimilolpa","McTl","MC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1887,472,"Xolalpan-Metepec","XlMe","LC","apartment compound","intermediate status residence","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1888,472,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1889,473,"Patlachique-Tzacualli","PMic","EC","access-way (alley, street, avenue, etc.)","street or avenue","occupation without durable structures","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1890,473,"Miccaotli-Tlamimilolpa","McTl","MC","access-way (alley, street, avenue, etc.)","street or avenue","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1891,473,"Xolalpan-Metepec","XlMe","LC","access-way (alley, street, avenue, etc.)","street or avenue","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1892,473,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1893,474,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1894,474,"Miccaotli-Tlamimilolpa","McTl","MC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1895,474,"Xolalpan-Metepec","XlMe","LC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1896,474,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1897,475,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1898,475,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1899,475,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1900,475,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1901,476,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1902,476,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1903,476,"Xolalpan-Metepec","XlMe","LC","occupation without durable structures","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1904,476,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1905,477,"Patlachique-Tzacualli","PMic","EC","occupation without durable structures","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1906,477,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures","residence of uncertain status","primary interpretation is the best assessment of a very ambiguous situation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1907,477,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1908,477,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1909,478,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1910,478,"Miccaotli-Tlamimilolpa","McTl","MC","occupation without durable structures","residence of uncertain status","no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,1,1,"1. Likely either less intensive or archaeologically ephemeral occupation"
1911,478,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1912,478,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1913,479,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1914,479,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1915,479,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1916,479,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1917,480,"Patlachique-Tzacualli","PMic","EC","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
1918,480,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
1919,480,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
1920,480,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period",NA,"no plausible alternative to the primary interpretation","primary interpretation is the best assessment of a very ambiguous situation",FALSE,0,0,"0. No evidence for occupation"
1921,481,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1922,481,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1923,481,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1924,481,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1925,482,"Patlachique-Tzacualli","PMic","EC","casa humilde","low status residential, no obvious occupational specialization","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,2,2,"3. Permanent occupation likely in the form of domestic structures or public buildings"
1926,482,"Miccaotli-Tlamimilolpa","McTl","MC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1927,482,"Xolalpan-Metepec","XlMe","LC","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
1928,482,"Oxtoticpac","Oxto","ET","probably not occupied or utilized in this period","unoccupied, not clear if cultivated or not","no plausible alternative to the primary interpretation","no plausible alternative to the pirmary interpretation",FALSE,0,0,"0. No evidence for occupation"
