VarID,DF9b_VarName,VarName,Table,DataType,CovertToFactorVar,NAValue,CodedVar,CodesTable,DF8_VarName,Var_Description_Short,Var_Description_Long,VarValuesDomain,Changes,Comments,
53,func1PMic,func1PMic,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_FuncInterpPrim,PMICFNC1,Pre-Miccaotli primary functional interpretation,Primary functional interpretation for Pre-Miccaotli occupation.,"domain set:
[-1,1..43,99]
-1=missing data
1=low status residential, no obvious occupational specialization
2=intermediate status residence
3=residence of uncertain status
4=high status residence
5=high status residence
6=altar
7=temple platform
8=temple in residential unit
9=temple
10=temple
11=temple
12=temple
13=temple
14=pyramid temple (over 10 m high)
15=possible temple for foreign gods
16=probably temple, hard to fit into any of the above categories
17=""civic"" structure, but not a temple
18=""civic"" structure, but not a temple
19=""civic"" structure, but not a temple
20=""civic"" structure, but not a temple
21=""civic"" structure, but not a temple
22=market or part of a market
23=puesto
24=obsidian workshop
25=pottery workshop
26=other type of workshop or craft production area
27=momoztli (platform in plaza)
28=plaza
29=ball court
30=possible ball court
31=street or avenue
32=street or avenue
33=street or avenue
34=street or avenue
35=avenue divider
36=dam
37=wall or segment of a wall
38=cemetery
39=cultivated field
40=uncultivated open area
41=unoccupied, not clear if cultivated or not
42=residential workshop
43=platform of probable religious significance
99=other",,,
54,func1McTl,func1McTl,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_FuncInterpPrim,MCTLFNC1,Miccaotli-Tlamimilolpa primary functional interpretation,Primary functional interpretation for Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,1..43,99]
-1=missing data
1=low status residential, no obvious occupational specialization
2=intermediate status residence
3=residence of uncertain status
4=high status residence
5=high status residence
6=altar
7=temple platform
8=temple in residential unit
9=temple
10=temple
11=temple
12=temple
13=temple
14=pyramid temple (over 10 m high)
15=possible temple for foreign gods
16=probably temple, hard to fit into any of the above categories
17=""civic"" structure, but not a temple
18=""civic"" structure, but not a temple
19=""civic"" structure, but not a temple
20=""civic"" structure, but not a temple
21=""civic"" structure, but not a temple
22=market or part of a market
23=puesto
24=obsidian workshop
25=pottery workshop
26=other type of workshop or craft production area
27=momoztli (platform in plaza)
28=plaza
29=ball court
30=possible ball court
31=street or avenue
32=street or avenue
33=street or avenue
34=street or avenue
35=avenue divider
36=dam
37=wall or segment of a wall
38=cemetery
39=cultivated field
40=uncultivated open area
41=unoccupied, not clear if cultivated or not
42=residential workshop
43=platform of probable religious significance
99=other",,,
55,func1XlMe,func1XlMe,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_FuncInterpPrim,XLMEFNC1,Xolalpan-Metepec primary functional interpretation,Primary functional interpretation for Xolalpan-Metepec occupation.,"domain set:
[-1,1..43,99]
-1=missing data
1=low status residential, no obvious occupational specialization
2=intermediate status residence
3=residence of uncertain status
4=high status residence
5=high status residence
6=altar
7=temple platform
8=temple in residential unit
9=temple
10=temple
11=temple
12=temple
13=temple
14=pyramid temple (over 10 m high)
15=possible temple for foreign gods
16=probably temple, hard to fit into any of the above categories
17=""civic"" structure, but not a temple
18=""civic"" structure, but not a temple
19=""civic"" structure, but not a temple
20=""civic"" structure, but not a temple
21=""civic"" structure, but not a temple
22=market or part of a market
23=puesto
24=obsidian workshop
25=pottery workshop
26=other type of workshop or craft production area
27=momoztli (platform in plaza)
28=plaza
29=ball court
30=possible ball court
31=street or avenue
32=street or avenue
33=street or avenue
34=street or avenue
35=avenue divider
36=dam
37=wall or segment of a wall
38=cemetery
39=cultivated field
40=uncultivated open area
41=unoccupied, not clear if cultivated or not
42=residential workshop
43=platform of probable religious significance
99=other",,,
56,func1Oxto,func1Oxto,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_FuncInterpPrim,OXTOFNC1,Oxtoticpac primary functional interpretation,Primary functional interpretation for Oxtoticpac occupation.,"domain set:
[-1,1..43,99]
-1=missing data
1=low status residential, no obvious occupational specialization
2=intermediate status residence
3=residence of uncertain status
4=high status residence
5=high status residence
6=altar
7=temple platform
8=temple in residential unit
9=temple
10=temple
11=temple
12=temple
13=temple
14=pyramid temple (over 10 m high)
15=possible temple for foreign gods
16=probably temple, hard to fit into any of the above categories
17=""civic"" structure, but not a temple
18=""civic"" structure, but not a temple
19=""civic"" structure, but not a temple
20=""civic"" structure, but not a temple
21=""civic"" structure, but not a temple
22=market or part of a market
23=puesto
24=obsidian workshop
25=pottery workshop
26=other type of workshop or craft production area
27=momoztli (platform in plaza)
28=plaza
29=ball court
30=possible ball court
31=street or avenue
32=street or avenue
33=street or avenue
34=street or avenue
35=avenue divider
36=dam
37=wall or segment of a wall
38=cemetery
39=cultivated field
40=uncultivated open area
41=unoccupied, not clear if cultivated or not
42=residential workshop
43=platform of probable religious significance
99=other",,,
57,func2PMic,func2PMic,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_FuncInterpAltern,PMICFNC2,Pre-Miccaotli secondary functional interpretation,Secondary functional interpretation for Pre-Miccaotli occupation.,"domain set:
[-1,1..43,77,99]
-1=primary interpretation is the best assessment of a very ambiguous situation
1=low status residential, no obvious occupational specialization
2=intermediate status residence
3=residence of uncertain status
4=high status residence
5=high status residence
6=altar
7=temple platform
8=temple in residential unit
9=temple
10=temple
11=temple
12=temple
13=temple
14=pyramid temple (over 10 m high)
15=possible temple for foreign gods
16=probably temple, hard to fit into any of the above categories
17=""civic"" structure, but not a temple
18=""civic"" structure, but not a temple
19=""civic"" structure, but not a temple
20=""civic"" structure, but not a temple
21=""civic"" structure, but not a temple
22=market or part of a market
23=puesto
24=obsidian workshop
25=pottery workshop
26=other type of workshop or craft production area
27=momoztli (platform in plaza)
28=plaza
29=ball court
30=possible ball court
31=street or avenue
32=street or avenue
33=street or avenue
34=street or avenue
35=avenue divider
36=dam
37=wall or segment of a wall
38=cemetery
39=cultivated field
40=uncultivated open area
41=unoccupied, not clear if cultivated or not
42=residential workshop
43=platform of probable religious significance
77=no plausible alternative to the pirmary interpretation
99=other",,,
58,func2McTl,func2McTl,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_FuncInterpAltern,MCTLFNC2,Miccaotli-Tlamimilolpa secondary functional interpretation,Secondary functional interpretation for Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,1..43,77,99]
-1=primary interpretation is the best assessment of a very ambiguous situation
1=low status residential, no obvious occupational specialization
2=intermediate status residence
3=residence of uncertain status
4=high status residence
5=high status residence
6=altar
7=temple platform
8=temple in residential unit
9=temple
10=temple
11=temple
12=temple
13=temple
14=pyramid temple (over 10 m high)
15=possible temple for foreign gods
16=probably temple, hard to fit into any of the above categories
17=""civic"" structure, but not a temple
18=""civic"" structure, but not a temple
19=""civic"" structure, but not a temple
20=""civic"" structure, but not a temple
21=""civic"" structure, but not a temple
22=market or part of a market
23=puesto
24=obsidian workshop
25=pottery workshop
26=other type of workshop or craft production area
27=momoztli (platform in plaza)
28=plaza
29=ball court
30=possible ball court
31=street or avenue
32=street or avenue
33=street or avenue
34=street or avenue
35=avenue divider
36=dam
37=wall or segment of a wall
38=cemetery
39=cultivated field
40=uncultivated open area
41=unoccupied, not clear if cultivated or not
42=residential workshop
43=platform of probable religious significance
77=no plausible alternative to the pirmary interpretation
99=other",,,
59,func2XlMe,func2XlMe,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_FuncInterpAltern,XLMEFNC2,Xolalpan-Metepec secondary functional interpretation,Secondary functional interpretation for Xolalpan-Metepec occupation.,"domain set:
[-1,1..43,77,99]
-1=primary interpretation is the best assessment of a very ambiguous situation
1=low status residential, no obvious occupational specialization
2=intermediate status residence
3=residence of uncertain status
4=high status residence
5=high status residence
6=altar
7=temple platform
8=temple in residential unit
9=temple
10=temple
11=temple
12=temple
13=temple
14=pyramid temple (over 10 m high)
15=possible temple for foreign gods
16=probably temple, hard to fit into any of the above categories
17=""civic"" structure, but not a temple
18=""civic"" structure, but not a temple
19=""civic"" structure, but not a temple
20=""civic"" structure, but not a temple
21=""civic"" structure, but not a temple
22=market or part of a market
23=puesto
24=obsidian workshop
25=pottery workshop
26=other type of workshop or craft production area
27=momoztli (platform in plaza)
28=plaza
29=ball court
30=possible ball court
31=street or avenue
32=street or avenue
33=street or avenue
34=street or avenue
35=avenue divider
36=dam
37=wall or segment of a wall
38=cemetery
39=cultivated field
40=uncultivated open area
41=unoccupied, not clear if cultivated or not
42=residential workshop
43=platform of probable religious significance
77=no plausible alternative to the pirmary interpretation
99=other",,,
60,func2Oxto,func2Oxto,Data_archInterp,Integer,TRUE,-1,TRUE,Codes_FuncInterpAltern,OXTOFNC2,Oxtoticpac secondary functional interpretation,Secondary functional interpretation for Oxtoticpac occupation.,"domain set:
[-1,1..43,77,99]
-1=primary interpretation is the best assessment of a very ambiguous situation
1=low status residential, no obvious occupational specialization
2=intermediate status residence
3=residence of uncertain status
4=high status residence
5=high status residence
6=altar
7=temple platform
8=temple in residential unit
9=temple
10=temple
11=temple
12=temple
13=temple
14=pyramid temple (over 10 m high)
15=possible temple for foreign gods
16=probably temple, hard to fit into any of the above categories
17=""civic"" structure, but not a temple
18=""civic"" structure, but not a temple
19=""civic"" structure, but not a temple
20=""civic"" structure, but not a temple
21=""civic"" structure, but not a temple
22=market or part of a market
23=puesto
24=obsidian workshop
25=pottery workshop
26=other type of workshop or craft production area
27=momoztli (platform in plaza)
28=plaza
29=ball court
30=possible ball court
31=street or avenue
32=street or avenue
33=street or avenue
34=street or avenue
35=avenue divider
36=dam
37=wall or segment of a wall
38=cemetery
39=cultivated field
40=uncultivated open area
41=unoccupied, not clear if cultivated or not
42=residential workshop
43=platform of probable religious significance
77=no plausible alternative to the pirmary interpretation
99=other",,,
61,Cmplx_archInt1PaTz,archInt1PaTz,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexGenPrim,PTTZCX1,Patlachique-Tzacualli primary architectural interpretation for complex,Primary architectural interpretation for complex during Patlachique-Tzacualli occupation.,"domain set:
[-1,0..9]
-1=missing data
0=site is not part of a complex
1=row of two or more mounds on a long mound
2=3-mound complex (sometimes with additional minor features)
3=4-mound complex
4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex
5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry
6=walled open area complex (large compound)
7=single mound plus platform on terrace
8=site is part of a macrocomplex but no meaningful complex
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
62,Cmplx_archInt1McTl,archInt1McTl,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexGenPrim,MCTLCX1,Miccaotli-Tlamimilolpa primary architectural interpretation for complex,Primary architectural interpretation for complex during Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,0..9]
-1=missing data
0=site is not part of a complex
1=row of two or more mounds on a long mound
2=3-mound complex (sometimes with additional minor features)
3=4-mound complex
4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex
5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry
6=walled open area complex (large compound)
7=single mound plus platform on terrace
8=site is part of a macrocomplex but no meaningful complex
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
63,Cmplx_archInt1XlMt,archInt1XlMt,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexGenPrim,XLMECX1,Xolalpan-Metepec primary architectural interpretation for complex,Primary architectural interpretation for complex during Xolalpan-Metepec occupation.,"domain set:
[-1,0..9]
-1=missing data
0=site is not part of a complex
1=row of two or more mounds on a long mound
2=3-mound complex (sometimes with additional minor features)
3=4-mound complex
4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex
5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry
6=walled open area complex (large compound)
7=single mound plus platform on terrace
8=site is part of a macrocomplex but no meaningful complex
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
64,Cmplx_archInt2PaTz,archInt2PaTz,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexGenAltern,PTTZCX2,Patlachique-Tzacualli alternative architectural interpretation for complex,Alternative architectural interpretation for complex during Patlachique-Tzacualli occupation.,"domain set:
[-1,0..9]
-1=no reasonable alternative to primary interpretation
0=site is not part of a complex
1=row of two or more mounds on a long mound
2=3-mound complex (sometimes with additional minor features)
3=4-mound complex
4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex
5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry
6=walled open area complex (large compound)
7=single mound plus platform on terrace
8=no reasonable alternative to primary interpretation
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
65,Cmplx_archInt2McTl,archInt2McTl,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexGenAltern,MCTLCX2,Miccaotli-Tlamimilolpa alternative architectural interpretation for complex,Alternative architectural interpretation for complex during Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,0..9]
-1=no reasonable alternative to primary interpretation
0=site is not part of a complex
1=row of two or more mounds on a long mound
2=3-mound complex (sometimes with additional minor features)
3=4-mound complex
4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex
5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry
6=walled open area complex (large compound)
7=single mound plus platform on terrace
8=no reasonable alternative to primary interpretation
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
66,Cmplx_archInt2XlMt,archInt2XlMt,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexGenAltern,XLMECX2,Xolalpan-Metepec alternative architectural interpretation for complex,Alternative architectural interpretation for complex during Xolalpan-Metepec occupation.,"domain set:
[-1,0..9]
-1=no reasonable alternative to primary interpretation
0=site is not part of a complex
1=row of two or more mounds on a long mound
2=3-mound complex (sometimes with additional minor features)
3=4-mound complex
4=several mounds associated in a symmetrical or partially symmetrical pattern, but but not a 3- or 4-mound complex
5=group of several mounds suggesting an interrelated pattern but lacking any obvious symmetry
6=walled open area complex (large compound)
7=single mound plus platform on terrace
8=no reasonable alternative to primary interpretation
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
67,Cmplx_funcIntPaTz,funcIntPaTz,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunWhole,PTTZCXFN,Patlachique-Tzacualli functional interpretation for whole complex,Functional  interpretation for whole complex during Patlachique-Tzacualli occupation.,"domain set:
[-1,0..9]
-1=site not part of complex or (rarely) no information
0=dominantly residential
1=dominantly temples
2=dominantly non-temple civic structures
3=mixed
4=mixed
5=mixed
6=mixed
7=mixed
8=mixed
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
68,Cmplx_funcIntMcTl,funcIntMcTl,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunWhole,MCTLCXFN,Miccaotli-Tlamimilolpa functional interpretation for whole complex,Functional  interpretation for whole complex during Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,0..9]
-1=site not part of complex or (rarely) no information
0=dominantly residential
1=dominantly temples
2=dominantly non-temple civic structures
3=mixed
4=mixed
5=mixed
6=mixed
7=mixed
8=mixed
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
69,Cmplx_funcIntXlMt,funcIntXlMt,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunWhole,XLMECXFN,Xolalpan-Metepec functional interpretation for whole complex,Functional  interpretation for whole complex during Xolalpan-Metepec occupation.,"domain set:
[-1,0..9]
-1=site not part of complex or (rarely) no information
0=dominantly residential
1=dominantly temples
2=dominantly non-temple civic structures
3=mixed
4=mixed
5=mixed
6=mixed
7=mixed
8=mixed
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
70,Cmplx_funcResPaTz,funcResPaTz,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunRes,PTTZRSFN,Patlachique-Tzacualli functional interpretation for residential elements of complex,Functional  interpretation for residential elements of complex during Patlachique-Tzacualli occupation.,"domain set:
[-1,0..6,9]
-1=site not part of complex or (rarely) no information
0=evidence suggests no part of complex was residential
1=residential block of uncertain status
2=low or intermediate status
3=low or intermediate status
4=residential block of uncertain status
5=high status
6=high status
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
71,Cmplx_funcResMcTl,funcResMcTl,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunRes,MCTLRSFN,Miccaotli-Tlamimilolpa functional interpretation for residential elements of complex,Functional  interpretation for residential elements of complex during Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,0..6,9]
-1=site not part of complex or (rarely) no information
0=evidence suggests no part of complex was residential
1=residential block of uncertain status
2=low or intermediate status
3=low or intermediate status
4=residential block of uncertain status
5=high status
6=high status
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
72,Cmplx_funcResXlMt,funcResXlMt,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunRes,XLMERSFN,Xolalpan-Metepec functional interpretation for residential elements of complex,Functional  interpretation for residential elements of complex during Xolalpan-Metepec occupation.,"domain set:
[-1,0..6,9]
-1=site not part of complex or (rarely) no information
0=evidence suggests no part of complex was residential
1=residential block of uncertain status
2=low or intermediate status
3=low or intermediate status
4=residential block of uncertain status
5=high status
6=high status
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
73,Cmplx_funcTmpPaTz,funcTmpPaTz,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunTemp,PTTZTMFN,Patlachique-Tzacualli functional interpretation for temple-like elements of complex,Functional  interpretation for temple-like elements of complex during Patlachique-Tzacualli occupation.,"domain set:
[-1,0..9]
-1=missing data
0=evidence suggests there were no temples in complex
1=temples included
2=temples included
3=temples included
4=temples included
5=temples included
6=temples included
7=one or more pyramid temples included
8=temple(s) possibly for foreign gods
9=temples of uncertain or varied character",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
74,Cmplx_funcTmpMcTl,funcTmpMcTl,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunTemp,MCTLTMFN,Miccaotli-Tlamimilolpa functional interpretation for temple-like elements of complex,Functional  interpretation for temple-like elements of complex during Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,0..9]
-1=missing data
0=evidence suggests there were no temples in complex
1=temples included
2=temples included
3=temples included
4=temples included
5=temples included
6=temples included
7=one or more pyramid temples included
8=temple(s) possibly for foreign gods
9=temples of uncertain or varied character",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
75,Cmplx_funcTmpXlMt,funcTmpXlMt,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunTemp,XLMETMFN,Xolalpan-Metepec functional interpretation for temple-like elements of complex,Functional  interpretation for temple-like elements of complex during Xolalpan-Metepec occupation.,"domain set:
[-1,0..9]
-1=missing data
0=evidence suggests there were no temples in complex
1=temples included
2=temples included
3=temples included
4=temples included
5=temples included
6=temples included
7=one or more pyramid temples included
8=temple(s) possibly for foreign gods
9=temples of uncertain or varied character",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
76,Cmplx_funcCivPaTz,funcCivPaTz,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunCivic,PTTZCVFN,Patlachique-Tzacualli functional interpretation for non-temple civic elements of complex,Functional  interpretation for non-temple civic elements of complex during Patlachique-Tzacualli occupation.,"domain set:
[-1,0..6,9]
-1=missing data
0=evidence suggests none in complex
1=present
2=present
3=present
4=present
5=present
6=present
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
77,Cmplx_funcCivMcTl,funcCivMcTl,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunCivic,MCTLCVFN,Miccaotli-Tlamimilolpa functional interpretation for non-temple civic elements of complex,Functional  interpretation for non-temple civic elements of complex during Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,0..6,9]
-1=missing data
0=evidence suggests none in complex
1=present
2=present
3=present
4=present
5=present
6=present
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
78,Cmplx_funcCivXlMt,funcCivXlMt,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunCivic,XLMECVFN,Xolalpan-Metepec functional interpretation for non-temple civic elements of complex,Functional  interpretation for non-temple civic elements of complex during Xolalpan-Metepec occupation.,"domain set:
[-1,0..6,9]
-1=missing data
0=evidence suggests none in complex
1=present
2=present
3=present
4=present
5=present
6=present
9=other",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
79,Cmplx_funcOthXlMt,funcOthXlMt,Data_complexData,Integer,TRUE,-1,TRUE,Codes_complexFunOther,XLMEOTFN,Xolalpan-Metepec functional interpretation for other elements of complex,"Functional interpretation of elements of complex other than residential, temples, or civic structures during Xolalpan-Metepec occupation only.","domain set:
[-1,0..12]
-1=missing data
0=no other kinds of elements seem present in complex
1=obsidian workshop
2=stone workshop
3=pottery workshop
4=other kind of workshop
5=market (or possible market)
6=market (or possible market)
7=market (or possible market)
8=market (or possible market)
9=cemetery
10=ball court
11=major walled compound
12=open field",,"Complex definitions are not axiomatic. Even in the case of well defined complexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the complex to which a site is assigned, not necessarily about the site itself.",
80,Cmplx_Num,complexNum,Data_complexData,Integer,TRUE,-1,FALSE,,CXUNITN,Sequential complex ID,Sequential complex identification number.,"domain set:
[-1,1..99]
-1=not assigned to a complex",,Assigned sequentially to CXs in each square,
81,Cmplx_Unit,complexUnit,Data_complexData,Character,TRUE,XXXX,FALSE,,CXUNIT,Complex unit,Designation for map square containing complex.,,,,
82,MCmplx_Num,macroComplexNum,Data_complexMacroData,Integer,TRUE,-1,FALSE,,MCXUNITN,Sequential macrocomplex ID,Sequential macrocomplex identification number.,"domain set:
[-1,1..99]
-1=not assigned to a complex",,Assigned sequentially to MCXs in each square,
83,MCmplx_Unit,macroComplexUnit,Data_complexMacroData,Character,TRUE,XXXX,FALSE,,MCXUNIT,Macrocomplex unit,Designation for map square containing macrocomplex.,,,,
84,MCmplx_presPaTz,presPaTz,Data_complexMacroData,Integer,TRUE,-1,TRUE,Codes_McomplexGen,PTTZMCX,Patlachique-Tzacualli macrocomplex status,Existence of macrocomplex during Patlachique-Tzacualli occupation.,"domain set:
[-1,0..2]
-1=missing data
0=site not part of a macrocomplex
1=site part of a possible macrocomplex
2=site part of a macrocomplex",,"Macrocomplex definitions are not axiomatic. Even in the case of well defined macrocomplexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the macrocomplex to which a site is assigned, not necessarily about the site itself.",
85,MCmplx_presMcTl,presMcTl,Data_complexMacroData,Integer,TRUE,-1,TRUE,Codes_McomplexGen,MCTLMCX,Miccaotli-Tlamimilolpa macrocomplex status,Existence of macrocomplex during Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,0..2]
-1=missing data
0=site not part of a macrocomplex
1=site part of a possible macrocomplex
2=site part of a macrocomplex",,"Macrocomplex definitions are not axiomatic. Even in the case of well defined macrocomplexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the macrocomplex to which a site is assigned, not necessarily about the site itself.",
86,MCmplx_presXlMt,presXlMt,Data_complexMacroData,Integer,TRUE,-1,TRUE,Codes_McomplexGen,XLMEMCX,Xolalpan-Metepec macrocomplex status,Existence of macrocomplex during Xolalpan-Metepec occupation.,"domain set:
[-1,0..2]
-1=missing data
0=site not part of a macrocomplex
1=site part of a possible macrocomplex
2=site part of a macrocomplex",,"Macrocomplex definitions are not axiomatic. Even in the case of well defined macrocomplexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the macrocomplex to which a site is assigned, not necessarily about the site itself.",
87,MCmplx_funcIntPaTz,funcIntPaTz,Data_complexMacroData,Integer,TRUE,-1,TRUE,Codes_McomplexFun,PTTZMXFN,Patlachique-Tzacualli functional interpretation for macrocomplex,Functional interpretation for macrocomplex during Patlachique-Tzacualli occupation.,"domain set:
[-1,0..9]
-1=??
0=dominantly residential
1=dominantly temples
2=dominantly non-temple civic structures
3=mixed
4=mixed
5=mixed
6=mixed
7=mixed
8=mixed
9=other",,"Macrocomplex definitions are not axiomatic. Even in the case of well defined macrocomplexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the macrocomplex to which a site is assigned, not necessarily about the site itself.",
88,MCmplx_funcIntMcTl,funcIntMcTl,Data_complexMacroData,Integer,TRUE,-1,TRUE,Codes_McomplexFun,TLXLMXFN,Miccaotli-Tlamimilolpa functional interpretation for macrocomplex,Functional interpretation for macrocomplex during Miccaotli-Tlamimilolpa occupation.,"domain set:
[-1,0..9]
-1=??
0=dominantly residential
1=dominantly temples
2=dominantly non-temple civic structures
3=mixed
4=mixed
5=mixed
6=mixed
7=mixed
8=mixed
9=other",,"Macrocomplex definitions are not axiomatic. Even in the case of well defined macrocomplexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the macrocomplex to which a site is assigned, not necessarily about the site itself.",
89,MCmplx_funcIntXlMt,funcIntXlMt,Data_complexMacroData,Integer,TRUE,-1,TRUE,Codes_McomplexFun,XLMEMXFN,Xolalpan-Metepec functional interpretation for macrocomplex,Functional interpretation for macrocomplex during Xolalpan-Metepec occupation.,"domain set:
[-1,0..9]
-1=??
0=dominantly residential
1=dominantly temples
2=dominantly non-temple civic structures
3=mixed
4=mixed
5=mixed
6=mixed
7=mixed
8=mixed
9=other",,"Macrocomplex definitions are not axiomatic. Even in the case of well defined macrocomplexes, there may be much uncertainty about the assignment of structures near their edges. 
Codings for this variable provide information about the macrocomplex to which a site is assigned, not necessarily about the site itself.",
