"","SSN","site","subsite","unit","XLMEFNC1","description","2020Hierarchy","ZArch1_MCTL","ZArch1_OXTO","ZArch1_PMIC","ZArch1_XLME","ZArch2_MCTL","ZArch2_OXTO","ZArch2_PMIC","ZArch2_XLME","ZFunc1_MCTL","ZFunc1_OXTO","ZFunc1_PMIC","ZFunc1_XLME","ZFunc2_MCTL","ZFunc2_OXTO","ZFunc2_PMIC","ZFunc2_XLME","H2020_1_XLME","H2020_2_XLME","H2020_3_XLME","Workshop_2020"
"241",240,"28","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"242",241,"29","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,2,2,4,-1,-1,-1,-1,2,2,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"243",242,"30","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"244",243,"31","&32","N2W6",-1,"missing data","-1",19,20,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"245",244,"33","&45","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"246",245,"34","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"247",246,"35","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"248",247,"36","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"249",248,"37","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"250",249,"38","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"251",250,"39","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"252",251,"40","NONE","N2W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,3,4,-1,77,-1,-1,3,41,1,3,-1,77,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"253",252,"41","NONE","N2W6",-1,"missing data","-1",19,20,19,19,77,77,77,77,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"254",253,"42","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"255",254,"43","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"256",255,"44","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"257",256,"46","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,77,-1,-1,2,41,3,2,-1,77,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"258",257,"47","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,77,-1,-1,2,41,3,2,-1,77,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"259",258,"48","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"260",259,"49","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"261",260,"50","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,2,2,4,77,-1,77,77,2,2,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"262",261,"51","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"263",262,"52","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"264",263,"53","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"265",264,"54","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,2,2,4,77,77,77,77,2,2,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"266",265,"55","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"267",266,"56","NONE","N2W6",-1,"missing data","-1",19,20,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"268",267,"57","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"269",268,"58","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,77,-1,-1,2,41,3,2,-1,77,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"270",269,"59","NONE","N2W6",-1,"missing data","-1",19,20,19,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"271",270,"60","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"272",271,"61","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,-1,-1,-1,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"273",272,"62","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"274",273,"63","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"275",274,"64","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"276",275,"65","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,19,3,3,77,-1,77,77,1,-1,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"277",276,"73","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"278",277,"74","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"279",278,"75","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"280",279,"76","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"281",280,"77","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"282",281,"78","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,2,2,4,77,77,77,77,2,2,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"283",282,"79","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"284",283,"80","NONE","N2W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,3,1,41,1,41,77,77,77,1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"285",284,"81","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"286",285,"82","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"287",286,"83","NONE","N2W6",-1,"missing data","-1",19,20,19,19,77,77,77,77,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Open Public Space","Outbuilding","-1"
"288",287,"84","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"289",288,"85","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"290",289,"86","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"291",290,"87","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"292",291,"88","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"293",292,"89","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"294",293,"90","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"295",294,"91","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"296",295,"92","NONE","N2W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,3,77,77,3,41,41,1,41,1,77,77,1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"297",296,"93","NONE","N2W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,3,41,41,1,41,77,77,77,1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"298",297,"94","NONE","N2W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"299",298,"66","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,-1,-1,-1,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"300",299,"67","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,-1,-1,-1,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"301",300,"68","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"302",301,"69","NONE","N2W6",7,"temple platform","Temple Platform",5,20,7,5,-1,-1,-1,-1,7,41,7,7,-1,-1,-1,-1,"Architecture","Temple or Sanctuary","Temple Platform","-1"
"303",302,"70","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,77,77,2,41,3,2,77,77,77,77,"Architecture","House","Intermediate Status Residential","-1"
"304",303,"71","NONE","N2W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,-1,-1,-1,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"305",304,"72","NONE","N2W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"306",305,"1","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,-1,4,77,77,-1,77,3,41,-1,3,77,77,-1,77,"Architecture","House","Uncertain Status Residential","-1"
"307",306,"2","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,2,4,77,19,-1,77,3,41,3,3,77,3,-1,77,"Architecture","House","Uncertain Status Residential","-1"
"308",307,"3","NONE","N1W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,2,20,20,77,20,3,1,41,3,41,41,77,41,1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"309",308,"4","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,-1,3,-1,77,-1,-1,1,41,-1,1,-1,77,-1,-1,"Architecture","House","Low Status Residential","-1"
"310",309,"5","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,-1,4,-1,77,-1,-1,3,41,-1,3,-1,77,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"311",310,"6","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,-1,-1,4,-1,-1,-1,-1,3,-1,-1,3,-1,-1,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"312",311,"7","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,-1,4,-1,-1,20,-1,3,41,-1,3,-1,-1,41,-1,"Architecture","House","Uncertain Status Residential","-1"
"313",312,"8","NONE","N1W6",28,"utilized space1","Utilized Space1",12,-1,-1,12,4,-1,-1,4,28,-1,-1,28,3,-1,-1,3,"Open Space","Open Public Space","Utilized Space1","-1"
"314",313,"9","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,-1,4,-1,-1,-1,-1,3,41,-1,3,-1,-1,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"315",314,"10","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,-1,-1,4,-1,-1,-1,-1,3,-1,-1,3,-1,-1,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"316",315,"11","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,-1,-1,4,-1,-1,-1,-1,3,-1,-1,3,-1,-1,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"317",317,"20","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,20,4,-1,-1,-1,-1,3,41,41,3,-1,-1,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"318",318,"32","NONE","N1W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,-1,-1,77,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"319",319,"33","NONE","N1W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,-1,-1,77,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"320",320,"34","NONE","N1W6",43,"platform of probable religious significance","Platform of Probable Religious Significance",7,20,7,7,4,77,2,4,43,41,43,43,2,77,3,2,"Architecture","Temple or Sanctuary","Platform of Probable Religious Significance","-1"
"321",321,"39","NONE","N1W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,-1,77,20,-1,2,41,3,2,-1,77,41,-1,"Architecture","House","Intermediate Status Residential","-1"
"322",322,"43","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,20,3,20,-1,-1,20,1,41,41,1,41,-1,-1,41,"Architecture","House","Low Status Residential","-1"
"323",323,"12","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,-1,4,-1,77,-1,-1,3,41,-1,3,-1,77,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"324",324,"13","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,-1,4,12,77,-1,12,3,41,-1,3,28,77,-1,28,"Architecture","House","Uncertain Status Residential","-1"
"325",325,"14","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,-1,-1,4,-1,20,20,-1,3,-1,-1,3,-1,41,41,-1,"Architecture","House","Uncertain Status Residential","-1"
"326",326,"15","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,-1,4,-1,-1,-1,-1,3,41,-1,3,-1,-1,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"327",327,"16","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,-1,-1,4,-1,-1,-1,-1,3,-1,-1,3,-1,-1,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"328",328,"18","LG","N1W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,20,20,-1,77,-1,-1,41,41,41,41,-1,77,-1,-1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"329",329,"22","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,-1,4,-1,77,-1,-1,3,41,-1,3,-1,77,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"330",330,"23","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,-1,3,4,-1,-1,4,1,41,-1,1,3,-1,-1,3,"Architecture","House","Low Status Residential","-1"
"331",331,"24","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,3,3,3,-1,20,-1,-1,1,1,1,1,-1,41,-1,-1,"Architecture","House","Low Status Residential","-1"
"332",332,"25","NONE","N1W6",3,"residence of uncertain status","Uncertain Status Residential",4,20,-1,4,-1,-1,-1,-1,3,41,-1,3,-1,-1,-1,-1,"Architecture","House","Uncertain Status Residential","-1"
"333",333,"26","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,20,3,77,77,2,77,1,41,41,1,77,77,3,77,"Architecture","House","Low Status Residential","-1"
"334",334,"27","NONE","N1W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,2,20,3,77,-1,77,41,41,3,41,1,77,-1,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"335",335,"28","NONE","N1W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,2,20,3,77,77,77,41,41,3,41,1,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"336",336,"29","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,2,3,77,77,77,20,1,41,3,1,77,77,77,41,"Architecture","House","Low Status Residential","-1"
"337",337,"30","NONE","N1W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,77,-1,77,2,41,3,2,-1,77,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"338",338,"31","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,2,3,-1,-1,-1,-1,1,-1,3,1,-1,-1,-1,-1,"Architecture","House","Low Status Residential","-1"
"339",339,"35","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,2,3,-1,77,-1,-1,1,41,3,1,-1,77,-1,-1,"Architecture","House","Low Status Residential","-1"
"340",340,"36","NONE","N1W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,77,-1,-1,77,2,41,3,2,-1,-1,-1,-1,"Architecture","House","Intermediate Status Residential","-1"
"341",341,"37","NONE","N1W6",2,"intermediate status residence","Intermediate Status Residential",4,20,2,4,3,-1,-1,3,2,41,3,2,1,-1,-1,1,"Architecture","House","Intermediate Status Residential","-1"
"342",342,"38","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,2,3,77,77,-1,77,1,41,3,1,77,77,-1,77,"Architecture","House","Low Status Residential","-1"
"343",343,"40","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,2,3,77,77,77,77,1,41,3,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"344",344,"41","NONE","N1W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,2,20,-1,77,77,77,1,41,3,41,-1,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"345",345,"42","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,3,2,3,-1,20,77,-1,1,1,3,1,-1,41,77,-1,"Architecture","House","Low Status Residential","-1"
"346",346,"44","NONE","N1W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,2,20,20,77,77,77,1,41,3,41,41,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"347",347,"45","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,2,3,77,3,77,77,1,41,3,1,77,3,77,77,"Architecture","House","Low Status Residential","-1"
"348",348,"L 6","NONE","N1W6",31,"street or avenue","Street or Avenue",14,20,20,14,77,77,-1,77,31,41,41,31,77,77,-1,77,"Open Space","Open Public Space","Street or Avenue","-1"
"349",349,"L 7","NONE","N1W6",31,"street or avenue","Street or Avenue",14,20,20,14,77,77,77,77,31,41,41,31,77,77,77,77,"Open Space","Open Public Space","Street or Avenue","-1"
"350",350,"L 8","NONE","N1W6",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,20,20,77,77,2,77,41,41,41,41,77,77,3,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"351",351,"L 9","NONE","N1W6",31,"street or avenue","Street or Avenue",14,20,20,14,77,77,77,77,31,41,41,31,77,77,77,77,"Open Space","Open Public Space","Street or Avenue","-1"
"352",352,"L10","NONE","N1W6",1,"low status residential, no obvious occupational specialization","Low Status Residential",14,20,20,3,3,77,2,14,31,41,41,1,1,77,3,31,"Architecture","House","Low Status Residential","-1"
"353",353,"1","NONE","N5W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,20,20,20,-1,-1,3,1,41,41,41,41,-1,-1,1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"354",354,"2","NONE","N5W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",4,20,2,20,77,77,77,-1,2,41,3,41,77,77,77,-1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"355",355,"3","NONE","N5W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,-1,1,41,1,41,77,77,77,-1,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"356",356,"4","NONE","N5W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",4,20,2,20,77,77,77,77,2,41,3,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"357",357,"5","NONE","N5W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"358",358,"6","NONE","N5W5",1,"low status residential, no obvious occupational specialization","Low Status Residential",3,20,3,3,77,77,77,77,1,41,1,1,77,77,77,77,"Architecture","House","Low Status Residential","-1"
"359",359,"L 1","NONE","N5W5",-1,"missing data","-1",20,20,20,20,77,77,77,77,-1,-1,-1,-1,-1,-1,-1,-1,"Open Space","Unoccupied","Probably Not Occupied or Utilized in this Period","-1"
"360",360,"1","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"361",361,"2","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"362",362,"3","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"363",363,"4","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"364",364,"5","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"365",365,"6","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"366",366,"7","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"367",367,"8","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"368",368,"9","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",3,20,3,20,77,77,77,77,1,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"369",369,"10","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
"370",370,"11","NONE","N4W5",41,"unoccupied, not clear if cultivated or not","Unoccupied, Not Clear if Cultivated or Not",20,20,3,20,77,77,77,77,41,41,1,41,77,77,77,77,"Open Space","Unoccupied","Unoccupied, Not Clear if Cultivated or Not","-1"
