"SSN","Occu_EC","Occu_MC","Occu_LC","Occu_ET"
788,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
789,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
790,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
791,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
792,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
793,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
794,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
795,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
796,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
797,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
798,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
799,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
800,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
801,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
802,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
803,"0. No evidence for occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
804,"0. No evidence for occupation","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
805,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
806,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
807,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
808,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
809,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
810,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
811,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
812,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
813,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
814,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
815,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","2. Evidence for permanent occupation of some form"
816,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
817,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
818,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
819,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
820,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
821,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
822,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
823,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
824,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
825,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings",NA
826,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
827,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
828,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
829,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
830,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
831,"0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation","0. No evidence for occupation"
832,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
833,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
834,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
835,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
836,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
837,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
838,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
839,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
840,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
841,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
842,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
843,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
844,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
845,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
846,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
847,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
848,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
849,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
850,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
851,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
852,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
853,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
854,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
855,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
856,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
857,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
858,"0. No evidence for occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
859,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
860,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
861,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
862,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
863,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings"
864,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
865,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
866,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
867,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
868,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
869,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
870,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
871,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
872,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
873,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
874,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
875,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
876,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
877,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
878,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
879,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
880,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
881,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
882,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
883,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
884,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
885,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
886,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
887,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
888,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
889,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
890,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
891,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
892,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
893,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
894,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
895,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
896,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
897,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
898,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
899,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
900,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
901,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
902,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
903,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
904,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
905,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
906,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
907,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
908,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
909,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
910,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
911,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
912,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
913,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
914,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
915,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
916,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
917,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
918,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
919,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
920,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
921,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
922,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
923,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
924,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
925,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
926,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings",NA
927,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
928,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
929,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
930,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
931,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
932,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
933,"1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","1. Likely either less intensive or archaeologically ephemeral occupation","0. No evidence for occupation"
934,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
935,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
936,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
937,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
938,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation","0. No evidence for occupation"
939,"3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","3. Permanent occupation likely in the form of domestic structures or public buildings","0. No evidence for occupation"
